"Onderwerpen_1";"Onderwerpen_2";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"2010";"2011"
"Arbeidsvolume";"Werkzame persoon";"5229 Tussenpersonen vrachtvervoer";"x 1 000";"40.3";"41.8"
"Arbeidsvolume";"Werkzame persoon";"53 Post en koeriers";"x 1 000";"50.7";"49.8"
"Arbeidsvolume";"Werkzame persoon";"Traditionele Horeca";"x 1 000";"192.1";"201.2"
"Arbeidsvolume";"Werkzame persoon";"I Horeca";"x 1 000";"239.1";"249.6"
"Arbeidsvolume";"Werkzame persoon";"55 Logiesverstrekking";"x 1 000";"52.3";"54.9"
"Arbeidsvolume";"Werkzame persoon";"551 Hotels";"x 1 000";"36.6";"39.4"
"Arbeidsvolume";"Werkzame persoon";"56 Eet- en drinkgelegenheden";"x 1 000";"186.9";"194.8"
"Arbeidsvolume";"Werkzame persoon";"561 Restaurants, andere eetgelegenheden";"x 1 000";"115.1";"119.3"
"Arbeidsvolume";"Werkzame persoon";"56101 Restaurants";"x 1 000";"74.2";"76.8"
"Arbeidsvolume";"Werkzame persoon";"56102-56103 Cafetaria's, ijssalons e.d.";"x 1 000";"40.8";"42.5"
"Arbeidsvolume";"Werkzame persoon";"562 Kantines en catering";"x 1 000";"31.3";"33.0"
"Arbeidsvolume";"Werkzame persoon";"563 Cafés";"x 1 000";"40.5";"42.5"
"Arbeidsvolume";"Werkzame persoon";"J Informatie en communicatie";"x 1 000";"259.2";"263.9"
"Arbeidsvolume";"Werkzame persoon";"58-60 Uitgeverijen, film,radio en t.v.";"x 1 000";"54.5";"54.3"
"Arbeidsvolume";"Werkzame persoon";"58 Uitgeverijen";"x 1 000";"29.8";"28.8"
"Arbeidsvolume";"Werkzame persoon";"59 Film- en tv-productie; geluidsopname";"x 1 000";"16.6";"17.4"
"Arbeidsvolume";"Werkzame persoon";"60 Radio- en televisieomroepen";"x 1 000";"8.1";"8.1"
"Arbeidsvolume";"Werkzame persoon";"61 Telecommunicatie";"x 1 000";"32.6";"33.6"
"Arbeidsvolume";"Werkzame persoon";"62-63 IT- en informatiedienstverlening";"x 1 000";"172.1";"176.0"
"Arbeidsvolume";"Werkzame persoon";"62 IT-dienstverlening";"x 1 000";"159.4";"160.8"
"Arbeidsvolume";"Werkzame persoon";"63 Diensten op het gebied van informatie";"x 1 000";"12.8";"15.2"
"Arbeidsvolume";"Werkzame persoon";"L Verhuur en handel van onroerend goed";"x 1 000";".";"."
"Arbeidsvolume";"Werkzame persoon";"68 Verhuur en handel van onroerend goed";"x 1 000";".";"."
"Arbeidsvolume";"Werkzame persoon";"69 Juridische diensten en administratie";"x 1 000";"143.3";"141.7"
"Arbeidsvolume";"Werkzame persoon";"691 Rechtskundige dienstverlening";"x 1 000";"48.8";"49.0"
"Arbeidsvolume";"Werkzame persoon";"692 Accountancy, administratie e.d.";"x 1 000";"94.4";"92.7"
"Arbeidsvolume";"Werkzame persoon";"70102 Holdings (geen financiële)";"x 1 000";"17.3";"19.2"
"Arbeidsvolume";"Werkzame persoon";"702 Managementadviesbureaus";"x 1 000";"126.4";"133.2"
"Arbeidsvolume";"Werkzame persoon";"71 Architecten-, ingenieursbureaus e.d.";"x 1 000";"127.8";"127.8"
"Arbeidsvolume";"Werkzame persoon";"711 Architecten- en ingenieursbureaus";"x 1 000";"112.6";"112.1"
"Arbeidsvolume";"Werkzame persoon";"7111 Architectenbureaus";"x 1 000";"14.7";"13.6"
"Arbeidsvolume";"Werkzame persoon";"7112 Ingenieursbureaus";"x 1 000";"97.9";"98.5"
"Arbeidsvolume";"Werkzame persoon";"712 Keurings- en controlediensten";"x 1 000";"15.2";"15.7"
"Arbeidsvolume";"Werkzame persoon";"72 Research";"x 1 000";"32.6";"32.8"
"Arbeidsvolume";"Werkzame persoon";"73-75 Reclame, design, overige diensten";"x 1 000";"108.2";"117.9"
"Arbeidsvolume";"Werkzame persoon";"73 Reclamewezen en marktonderzoek";"x 1 000";"59.3";"63.0"
"Arbeidsvolume";"Werkzame persoon";"731 Reclamewezen";"x 1 000";"43.8";"47.7"
"Arbeidsvolume";"Werkzame persoon";"732 Markt- en opinieonderzoek";"x 1 000";"15.5";"15.2"
"Arbeidsvolume";"Werkzame persoon";"74 Design, fotografie, vertaalbureaus";"x 1 000";"42.9";"47.9"
"Arbeidsvolume";"Werkzame persoon";"75 Veterinaire dienstverlening";"x 1 000";"6.0";"7.0"
"Arbeidsvolume";"Werkzame persoon";"N Verhuur en overige zakelijke diensten";"x 1 000";"302.2";"310.2"
"Arbeidsvolume";"Werkzame persoon";"77 Verhuur van roerende goederen";"x 1 000";"31.4";"31.4"
"Arbeidsvolume";"Werkzame persoon";"771 Verhuur en lease van auto's";"x 1 000";"5.4";"6.4"
"Arbeidsvolume";"Werkzame persoon";"772 Verhuur van consumentenartikelen";"x 1 000";"9.6";"10.0"
"Arbeidsvolume";"Werkzame persoon";"78 Uitzendbureaus en arbeidsbemiddeling";"x 1 000";"63.9";"66.0"
"Arbeidsvolume";"Werkzame persoon";"781 Arbeidsbemiddeling";"x 1 000";"10.8";"11.6"
"Arbeidsvolume";"Werkzame persoon";"782 Uitzend- en uitleenbureaus; pools";"x 1 000";"52.4";"53.1"
"Arbeidsvolume";"Werkzame persoon";"78203 Banenpools (werkgelegenheid)";"x 1 000";"1.3";"."
"Arbeidsvolume";"Werkzame persoon";"783 Payrolling (personeelsbeheer)";"x 1 000";"0.7";"."
"Arbeidsvolume";"Werkzame persoon";"79 Reisbureaus, reisorganisatie en -info";"x 1 000";"18.9";"20.3"
"Arbeidsvolume";"Werkzame persoon";"7912 Reisorganisatiebureaus";"x 1 000";"6.3";"6.7"
"Arbeidsvolume";"Werkzame persoon";"80 Beveiligings- en opsporingsdiensten";"x 1 000";"32.0";"32.4"
"Arbeidsvolume";"Werkzame persoon";"81 Schoonmaakbedrijven, hoveniers e.d.";"x 1 000";"122.3";"124.9"
"Arbeidsvolume";"Werkzame persoon";"812 Schoonmaakbedrijven";"x 1 000";"97.5";"98.3"
"Arbeidsvolume";"Werkzame persoon";"8121 Interieurreiniging van gebouwen";"x 1 000";"83.5";"81.9"
"Arbeidsvolume";"Werkzame persoon";"82 Overige zakelijke dienstverlening";"x 1 000";"33.6";"35.2"
"Arbeidsvolume";"Werkzame persoon";"95 Reparatie van consumentenartikelen";"x 1 000";"11.4";"11.6"
"Arbeidsvolume";"Werkzame persoon";"96 Overige persoonlijke dienstverlening";"x 1 000";"79.6";"77.8"
"Arbeidsvolume";"Werkzame persoon";"9601 Wasserijen";"x 1 000";"9.6";"10.0"
"Arbeidsvolume";"Werkzame persoon";"9602 Kappers en schoonheidsverzorging";"x 1 000";"59.0";"56.6"
"Arbeidsvolume";"Werkzame persoon";"9603 Uitvaartbranche";"x 1 000";"5.7";"5.8"
"Bedrijfsopbrengsten";"Netto-omzet";"016 Dienstverlening voor de landbouw";"x mln euro";"3843";"4660"
"Bedrijfsopbrengsten";"Netto-omzet";"B-E Nijverheid (geen bouw) en energie";"x mln euro";"359183";"401106"
"Bedrijfsopbrengsten";"Netto-omzet";"B Delfstoffenwinning";"x mln euro";"38194";"42274"
"Bedrijfsopbrengsten";"Netto-omzet";"06 Winning van aardolie en aardgas";"x mln euro";"34829";"38608"
"Bedrijfsopbrengsten";"Netto-omzet";"08 Delfstoffenwinning (geen olie en gas)";"x mln euro";"996";"1174"
"Bedrijfsopbrengsten";"Netto-omzet";"09 Dienstverlening delfstoffenwinning";"x mln euro";"2369";"2493"
"Bedrijfsopbrengsten";"Netto-omzet";"C Industrie";"x mln euro";"271274";"307818"
"Bedrijfsopbrengsten";"Netto-omzet";"10-12 Voedings-, genotmiddelenindustrie";"x mln euro";"59583";"65953"
"Bedrijfsopbrengsten";"Netto-omzet";"10 Voedingsmiddelenindustrie";"x mln euro";"51764";"57945"
"Bedrijfsopbrengsten";"Netto-omzet";"101 Slachterijen en vleeswarenindustrie";"x mln euro";"8417";"9238"
"Bedrijfsopbrengsten";"Netto-omzet";"1011 Slachterijen (geen pluimvee)";"x mln euro";"3994";"4339"
"Bedrijfsopbrengsten";"Netto-omzet";"1012 Pluimveeslachterijen";"x mln euro";"2157";"2455"
"Bedrijfsopbrengsten";"Netto-omzet";"1013 Vleesverwerkende industrie";"x mln euro";"2266";"2444"
"Bedrijfsopbrengsten";"Netto-omzet";"102 Visverwerkende industrie";"x mln euro";"798";"855"
"Bedrijfsopbrengsten";"Netto-omzet";"103 Groente-, fruitverwerkende industrie";"x mln euro";"4509";"4985"
"Bedrijfsopbrengsten";"Netto-omzet";"1031 Aardappelproductenindustrie";"x mln euro";"1756";"2102"
"Bedrijfsopbrengsten";"Netto-omzet";"104 Spijsoliën- en -vettenindustrie e.d.";"x mln euro";"5369";"6973"
"Bedrijfsopbrengsten";"Netto-omzet";"105 Zuivelindustrie";"x mln euro";"8861";"10531"
"Bedrijfsopbrengsten";"Netto-omzet";"106 Meelindustrie";"x mln euro";"2012";"2176"
"Bedrijfsopbrengsten";"Netto-omzet";"1061 Meelindustrie (geen zetmeel)";"x mln euro";"675";"883"
"Bedrijfsopbrengsten";"Netto-omzet";"1062 Zetmeelindustrie";"x mln euro";"1337";"1294"
"Bedrijfsopbrengsten";"Netto-omzet";"107 Brood- en deegwarenindustrie";"x mln euro";"4436";"4516"
"Bedrijfsopbrengsten";"Netto-omzet";"1072 Banket- en koekindustrie";"x mln euro";"1451";"1375"
"Bedrijfsopbrengsten";"Netto-omzet";"108 Overige voedingsmiddelenindustrie";"x mln euro";"11097";"11110"
"Bedrijfsopbrengsten";"Netto-omzet";"1082 Cacao- en chocoladewerkindustrie";"x mln euro";"4122";"4176"
"Bedrijfsopbrengsten";"Netto-omzet";"109 Diervoederindustrie";"x mln euro";"6265";"7562"
"Bedrijfsopbrengsten";"Netto-omzet";"11 Drankenindustrie";"x mln euro";"4660";"4732"
"Bedrijfsopbrengsten";"Netto-omzet";"1107 Frisdrankindustrie";"x mln euro";"1388";"1461"
"Bedrijfsopbrengsten";"Netto-omzet";"12 Tabaksindustrie";"x mln euro";"3159";"3276"
"Bedrijfsopbrengsten";"Netto-omzet";"13-15 Textiel-, kleding-, lederindustrie";"x mln euro";"3378";"3677"
"Bedrijfsopbrengsten";"Netto-omzet";"13 Textielindustrie";"x mln euro";"2500";"2789"
"Bedrijfsopbrengsten";"Netto-omzet";"139 Overige textielproductenindustrie";"x mln euro";"1980";"2196"
"Bedrijfsopbrengsten";"Netto-omzet";"14 Kledingindustrie";"x mln euro";"505";"451"
"Bedrijfsopbrengsten";"Netto-omzet";"15 Leer- en schoenenindustrie";"x mln euro";"374";"438"
"Bedrijfsopbrengsten";"Netto-omzet";"16+23 Hout- en bouwmaterialenindustrie";"x mln euro";"8814";"9679"
"Bedrijfsopbrengsten";"Netto-omzet";"16 Houtindustrie";"x mln euro";"2769";"2906"
"Bedrijfsopbrengsten";"Netto-omzet";"161 Primaire houtbewerking e.d.";"x mln euro";"383";"372"
"Bedrijfsopbrengsten";"Netto-omzet";"162 Hout-, kurk-, en rietwarenindustrie";"x mln euro";"2386";"2533"
"Bedrijfsopbrengsten";"Netto-omzet";"1623 Timmerindustrie";"x mln euro";"1517";"1614"
"Bedrijfsopbrengsten";"Netto-omzet";"17-18 Papier- en grafische industrie";"x mln euro";"10628";"10859"
"Bedrijfsopbrengsten";"Netto-omzet";"17 Papierindustrie";"x mln euro";"5879";"6208"
"Bedrijfsopbrengsten";"Netto-omzet";"171 Pulp-, papier- en kartonindustrie";"x mln euro";"1538";"1738"
"Bedrijfsopbrengsten";"Netto-omzet";"172 Papier- en kartonwarenindustrie";"x mln euro";"4341";"4470"
"Bedrijfsopbrengsten";"Netto-omzet";"1721 Karton- e.d. verpakkingenindustrie";"x mln euro";"1995";"2207"
"Bedrijfsopbrengsten";"Netto-omzet";"18 Grafische industrie";"x mln euro";"4749";"4651"
"Bedrijfsopbrengsten";"Netto-omzet";"181 Drukkerijen en diensten daarvoor";"x mln euro";"4636";"4529"
"Bedrijfsopbrengsten";"Netto-omzet";"1812 Overige drukkerijen";"x mln euro";"3988";"3885"
"Bedrijfsopbrengsten";"Netto-omzet";"182 Repro van geluid, beeld en software";"x mln euro";"113";"122"
"Bedrijfsopbrengsten";"Netto-omzet";"19-22 Raffinaderijen en chemie";"x mln euro";"93057";"113093"
"Bedrijfsopbrengsten";"Netto-omzet";"19 Aardolie-industrie";"x mln euro";"37239";"49043"
"Bedrijfsopbrengsten";"Netto-omzet";"19201 Raffinaderijen";"x mln euro";"36841";"48547"
"Bedrijfsopbrengsten";"Netto-omzet";"20-21 Chemie en farmaceutische industrie";"x mln euro";"48627";"56149"
"Bedrijfsopbrengsten";"Netto-omzet";"20 Chemische industrie";"x mln euro";"42255";"50094"
"Bedrijfsopbrengsten";"Netto-omzet";"201 Basischemie";"x mln euro";"34142";"41274"
"Bedrijfsopbrengsten";"Netto-omzet";"2013 Overige anorganische basischemie";"x mln euro";"1946";"2027"
"Bedrijfsopbrengsten";"Netto-omzet";"2014 Overige organische basischemie";"x mln euro";"18467";"18944"
"Bedrijfsopbrengsten";"Netto-omzet";"20141 Petrochemische industrie";"x mln euro";"12371";"15077"
"Bedrijfsopbrengsten";"Netto-omzet";"20149 Overige organische basischemie";"x mln euro";"6096";"3867"
"Bedrijfsopbrengsten";"Netto-omzet";"2015 Kunstmestindustrie";"x mln euro";"2226";"2543"
"Bedrijfsopbrengsten";"Netto-omzet";"2016 Kunststofindustrie";"x mln euro";"9191";"14794"
"Bedrijfsopbrengsten";"Netto-omzet";"203 Verf-, vernis- en drukinktindustrie";"x mln euro";"1810";"2016"
"Bedrijfsopbrengsten";"Netto-omzet";"205 Overige chemische productenindustrie";"x mln euro";"3825";"4522"
"Bedrijfsopbrengsten";"Netto-omzet";"206 Synthetische vezelindustrie";"x mln euro";"873";"846"
"Bedrijfsopbrengsten";"Netto-omzet";"21 Farmaceutische industrie";"x mln euro";"6371";"6055"
"Bedrijfsopbrengsten";"Netto-omzet";"211 Farmaceutische grondstofindustrie";"x mln euro";"120";"115"
"Bedrijfsopbrengsten";"Netto-omzet";"212 Farmaceutische productenindustrie";"x mln euro";"6251";"5940"
"Bedrijfsopbrengsten";"Netto-omzet";"22 Rubber- en kunststofproductindustrie";"x mln euro";"7192";"7901"
"Bedrijfsopbrengsten";"Netto-omzet";"221 Rubberproductenindustrie";"x mln euro";"709";"870"
"Bedrijfsopbrengsten";"Netto-omzet";"222 Kunststofproductenindustrie";"x mln euro";"6483";"7031"
"Bedrijfsopbrengsten";"Netto-omzet";"2221 Kunststofplaat-, -profielindustrie";"x mln euro";"2569";"2650"
"Bedrijfsopbrengsten";"Netto-omzet";"2229 Overige kunststofproductenindustrie";"x mln euro";"1653";"1606"
"Bedrijfsopbrengsten";"Netto-omzet";"23 Bouwmaterialenindustrie";"x mln euro";"6045";"6774"
"Bedrijfsopbrengsten";"Netto-omzet";"231 Glas- en glaswerkindustrie";"x mln euro";"1052";"1110"
"Bedrijfsopbrengsten";"Netto-omzet";"236 Beton-, gips-, cementwarenindustrie";"x mln euro";"3114";"3445"
"Bedrijfsopbrengsten";"Netto-omzet";"2361 Betonwaren-, kalkzandsteenindustrie";"x mln euro";"2010";"2281"
"Bedrijfsopbrengsten";"Netto-omzet";"237 Natuursteenbewerkende industrie";"x mln euro";"288";"299"
"Bedrijfsopbrengsten";"Netto-omzet";"24-30, 33 Metaal-elektro industrie";"x mln euro";"88602";"97319"
"Bedrijfsopbrengsten";"Netto-omzet";"24-25 Basismetaal, metaalprod.-industrie";"x mln euro";"26435";"28859"
"Bedrijfsopbrengsten";"Netto-omzet";"24 Basismetaalindustrie";"x mln euro";"8199";"8820"
"Bedrijfsopbrengsten";"Netto-omzet";"241 IJzer- en staalindustrie";"x mln euro";"x";"x"
"Bedrijfsopbrengsten";"Netto-omzet";"244 Edel- en non-ferrometaalindustrie";"x mln euro";"2232";"2395"
"Bedrijfsopbrengsten";"Netto-omzet";"245 Metaalgieterijen";"x mln euro";"596";"731"
"Bedrijfsopbrengsten";"Netto-omzet";"25 Metaalproductenindustrie";"x mln euro";"18236";"20039"
"Bedrijfsopbrengsten";"Netto-omzet";"251 Metalen bouwproductenindustrie";"x mln euro";"7413";"8710"
"Bedrijfsopbrengsten";"Netto-omzet";"255 Smederijen, profielwalserijen e.d.";"x mln euro";"1951";"1959"
"Bedrijfsopbrengsten";"Netto-omzet";"256 Overige metaalbewerkingsindustrie";"x mln euro";"3297";"3842"
"Bedrijfsopbrengsten";"Netto-omzet";"2561 Oppervlaktebehandelingsindustrie";"x mln euro";"1329";"1466"
"Bedrijfsopbrengsten";"Netto-omzet";"2562 Algemene metaalbewerkingsindustrie";"x mln euro";"1968";"2376"
"Bedrijfsopbrengsten";"Netto-omzet";"257 Bestek-, gereedschapindustrie e.d.";"x mln euro";"625";"801"
"Bedrijfsopbrengsten";"Netto-omzet";"259 Overige metaalproductenindustrie";"x mln euro";"3411";"3558"
"Bedrijfsopbrengsten";"Netto-omzet";"26-27 Elektrische en elektron. Industrie";"x mln euro";"19750";"19557"
"Bedrijfsopbrengsten";"Netto-omzet";"26-28 Elektrotechn. en machine-industrie";"x mln euro";"40591";"45647"
"Bedrijfsopbrengsten";"Netto-omzet";"26 Elektrotechnische industrie";"x mln euro";"14889";"14106"
"Bedrijfsopbrengsten";"Netto-omzet";"263 Communicatieapparatenindustrie";"x mln euro";"284";"289"
"Bedrijfsopbrengsten";"Netto-omzet";"264 Consumentenelektronicaindustrie";"x mln euro";"540";"568"
"Bedrijfsopbrengsten";"Netto-omzet";"265 Meetapparaten- en uurwerkindustrie";"x mln euro";"2673";"2687"
"Bedrijfsopbrengsten";"Netto-omzet";"267 Optische instrumentenindustrie";"x mln euro";"191";"."
"Bedrijfsopbrengsten";"Netto-omzet";"27 Elektrische apparatenindustrie";"x mln euro";"4860";"5451"
"Bedrijfsopbrengsten";"Netto-omzet";"271 Elektromotor- en -panelenindustrie";"x mln euro";"1258";"1332"
"Bedrijfsopbrengsten";"Netto-omzet";"273 Elektr. kabel-, schakelaarindustrie";"x mln euro";"981";"1014"
"Bedrijfsopbrengsten";"Netto-omzet";"274 Elektrische verlichtingsindustrie";"x mln euro";"1464";"1638"
"Bedrijfsopbrengsten";"Netto-omzet";"275 Huishoudelijke apparatenindustrie";"x mln euro";"484";"553"
"Bedrijfsopbrengsten";"Netto-omzet";"28 Machine-industrie";"x mln euro";"20842";"26090"
"Bedrijfsopbrengsten";"Netto-omzet";"281 Motoren-, pompen- e.d. industrie";"x mln euro";"3708";"3601"
"Bedrijfsopbrengsten";"Netto-omzet";"282 Overige machine-industrie algemeen";"x mln euro";"7064";"8077"
"Bedrijfsopbrengsten";"Netto-omzet";"2822 Hijs- en hefwerktuigenindustrie";"x mln euro";"2927";"3319"
"Bedrijfsopbrengsten";"Netto-omzet";"2829 Overige machine-industrie algemeen";"x mln euro";"2136";"2158"
"Bedrijfsopbrengsten";"Netto-omzet";"283 Landbouwmachine-industrie";"x mln euro";"1702";"2219"
"Bedrijfsopbrengsten";"Netto-omzet";"284 Gereedschapswerktuigenindustrie";"x mln euro";"317";"278"
"Bedrijfsopbrengsten";"Netto-omzet";"289 Overige machine-industrie specifiek";"x mln euro";"8052";"11915"
"Bedrijfsopbrengsten";"Netto-omzet";"2899 Overige machine-industrie specifiek";"x mln euro";"5564";"8822"
"Bedrijfsopbrengsten";"Netto-omzet";"29-30 Transportmiddelenindustrie";"x mln euro";"12796";"13889"
"Bedrijfsopbrengsten";"Netto-omzet";"29 Auto- en aanhangwagenindustrie";"x mln euro";"6521";"7959"
"Bedrijfsopbrengsten";"Netto-omzet";"291 Autoindustrie";"x mln euro";"3931";"5268"
"Bedrijfsopbrengsten";"Netto-omzet";"292 Carrosserie-, aanhangwagenindustrie";"x mln euro";"1280";"1283"
"Bedrijfsopbrengsten";"Netto-omzet";"293 Auto-onderdelenindustrie";"x mln euro";"1310";"1408"
"Bedrijfsopbrengsten";"Netto-omzet";"30 Overige transportmiddelenindustrie";"x mln euro";"6275";"5929"
"Bedrijfsopbrengsten";"Netto-omzet";"301 Scheepsbouw";"x mln euro";"4458";"4019"
"Bedrijfsopbrengsten";"Netto-omzet";"302 Industrie van rollend spoormaterieel";"x mln euro";"86";"111"
"Bedrijfsopbrengsten";"Netto-omzet";"309 Overige transportmiddelenindustrie";"x mln euro";"884";"935"
"Bedrijfsopbrengsten";"Netto-omzet";"31 Meubelindustrie";"x mln euro";"3444";"3346"
"Bedrijfsopbrengsten";"Netto-omzet";"3101 Bedrijfsmeubelindustrie";"x mln euro";"1772";"1767"
"Bedrijfsopbrengsten";"Netto-omzet";"32 Overige industrie";"x mln euro";"3766";"3892"
"Bedrijfsopbrengsten";"Netto-omzet";"325 Medische instrumentenindustrie";"x mln euro";"1342";"1520"
"Bedrijfsopbrengsten";"Netto-omzet";"329 Overige industrie";"x mln euro";"1900";"1859"
"Bedrijfsopbrengsten";"Netto-omzet";"32991 Sociale werkvoorziening";"x mln euro";"1333";"1368"
"Bedrijfsopbrengsten";"Netto-omzet";"33 Reparatie en installatie van machines";"x mln euro";"8780";"8924"
"Bedrijfsopbrengsten";"Netto-omzet";"331 Reparatie van machines en apparatuur";"x mln euro";"6174";"6679"
"Bedrijfsopbrengsten";"Netto-omzet";"3311 Reparatie van producten van metaal";"x mln euro";".";"."
"Bedrijfsopbrengsten";"Netto-omzet";"332 Installatie van industriële machines";"x mln euro";"2606";"2245"
"Bedrijfsopbrengsten";"Netto-omzet";"35-36 Energie- en waterleidingbedrijven";"x mln euro";"-";"42967"
"Bedrijfsopbrengsten";"Netto-omzet";"D Energievoorziening";"x mln euro";"40910";"41426"
"Bedrijfsopbrengsten";"Netto-omzet";"35 Energiebedrijven";"x mln euro";"40910";"41426"
"Bedrijfsopbrengsten";"Netto-omzet";"3514 Handel in elektriciteit en gas";"x mln euro";"x";"x"
"Bedrijfsopbrengsten";"Netto-omzet";"E Waterbedrijven en afvalbeheer";"x mln euro";"8806";"9588"
"Bedrijfsopbrengsten";"Netto-omzet";"36 Waterleidingbedrijven";"x mln euro";"1537";"1541"
"Bedrijfsopbrengsten";"Netto-omzet";"37 Afvalwaterinzameling en -behandeling";"x mln euro";"644";"658"
"Bedrijfsopbrengsten";"Netto-omzet";"38 Afvalbehandeling en recycling";"x mln euro";"6253";"6958"
"Bedrijfsopbrengsten";"Netto-omzet";"381 Inzameling van afval";"x mln euro";"2365";"2332"
"Bedrijfsopbrengsten";"Netto-omzet";"382 Behandeling van afval";"x mln euro";"1869";"2075"
"Bedrijfsopbrengsten";"Netto-omzet";"383 Voorbereiding tot recycling";"x mln euro";"2020";"2552"
"Bedrijfsopbrengsten";"Netto-omzet";"39 Sanering en overig afvalbeheer";"x mln euro";"371";"431"
"Bedrijfsopbrengsten";"Netto-omzet";"F Bouwnijverheid";"x mln euro";"84245";"87866"
"Bedrijfsopbrengsten";"Netto-omzet";"41 Algemene bouw en projectontwikkeling";"x mln euro";"35079";"36417"
"Bedrijfsopbrengsten";"Netto-omzet";"412-439 Bouw (geen projectontwikkeling)";"x mln euro";".";"83110"
"Bedrijfsopbrengsten";"Netto-omzet";"412 Algemene B&U-bouw";"x mln euro";"29789";"31661"
"Bedrijfsopbrengsten";"Netto-omzet";"42 Grond-, water-  en wegenbouw";"x mln euro";"13838";"14706"
"Bedrijfsopbrengsten";"Netto-omzet";"421 Bouw van wegen, spoorwegen, tunnels";"x mln euro";"9172";"10043"
"Bedrijfsopbrengsten";"Netto-omzet";"422 Buizen- en kabelleggers";"x mln euro";"3373";"3432"
"Bedrijfsopbrengsten";"Netto-omzet";"43 Gespecialiseerde bouw";"x mln euro";"35328";"36743"
"Bedrijfsopbrengsten";"Netto-omzet";"431 Sloopbedrijven en grondwerk";"x mln euro";"2504";"2669"
"Bedrijfsopbrengsten";"Netto-omzet";"432 Bouwinstallatiebedrijven";"x mln euro";"18367";"18580"
"Bedrijfsopbrengsten";"Netto-omzet";"4322 Loodgieters en installatiebedrijven";"x mln euro";"7676";"7991"
"Bedrijfsopbrengsten";"Netto-omzet";"433 Afwerkingsbedrijven (bouw)";"x mln euro";"8532";"8895"
"Bedrijfsopbrengsten";"Netto-omzet";"4331 Stukadoorsbedrijven";"x mln euro";"895";"862"
"Bedrijfsopbrengsten";"Netto-omzet";"4334 Schilders- en glaszetbedrijven";"x mln euro";"3390";"3489"
"Bedrijfsopbrengsten";"Netto-omzet";"439 Overige gespecialiseerde bouw";"x mln euro";"5925";"6600"
"Bedrijfsopbrengsten";"Netto-omzet";"4391 Dakbouwbedrijven";"x mln euro";"1301";"1503"
"Bedrijfsopbrengsten";"Netto-omzet";"G-I Handel, vervoer en horeca";"x mln euro";"634505";"699036"
"Bedrijfsopbrengsten";"Netto-omzet";"G Handel";"x mln euro";"548888";"607959"
"Bedrijfsopbrengsten";"Netto-omzet";"45 Autohandel en -reparatie";"x mln euro";"57981";"65818"
"Bedrijfsopbrengsten";"Netto-omzet";"451 Autohandel en -reparatie";"x mln euro";"45107";"51440"
"Bedrijfsopbrengsten";"Netto-omzet";"4511 Handel en reparatie personenauto's";"x mln euro";"40403";"46339"
"Bedrijfsopbrengsten";"Netto-omzet";"45111 Import van nieuwe personenauto's";"x mln euro";"11266";"12474"
"Bedrijfsopbrengsten";"Netto-omzet";"45112 Handel en reparatie personenauto's";"x mln euro";"29137";"33865"
"Bedrijfsopbrengsten";"Netto-omzet";"4519 Handel in vrachtwagens, aanhangers";"x mln euro";"4704";"5101"
"Bedrijfsopbrengsten";"Netto-omzet";"452 Gespecialiseerde autoreparatie";"x mln euro";"2894";"2827"
"Bedrijfsopbrengsten";"Netto-omzet";"453 Handel in auto-onderdelen";"x mln euro";"8689";"9416"
"Bedrijfsopbrengsten";"Netto-omzet";"454 Handel en reparatie van motorfietsen";"x mln euro";"1292";"2135"
"Bedrijfsopbrengsten";"Netto-omzet";"46 Groothandel en handelsbemiddeling";"x mln euro";"389009";"437813"
"Bedrijfsopbrengsten";"Netto-omzet";"462-469 Groothandel";"x mln euro";"382200";"431228"
"Bedrijfsopbrengsten";"Netto-omzet";"462 Groothandel in landbouwproducten";"x mln euro";"35979";"43527"
"Bedrijfsopbrengsten";"Netto-omzet";"4621 Groothandel in akkerbouwproducten";"x mln euro";"23488";"29783"
"Bedrijfsopbrengsten";"Netto-omzet";"4622 Groothandel in bloemen en planten";"x mln euro";"9221";"9643"
"Bedrijfsopbrengsten";"Netto-omzet";"463 Groothandel in voedingsmiddelen";"x mln euro";"67245";"70464"
"Bedrijfsopbrengsten";"Netto-omzet";"4631 Groothandel in groenten, fruit e.d.";"x mln euro";"14353";"13586"
"Bedrijfsopbrengsten";"Netto-omzet";"4634 Groothandel in dranken, geen zuivel";"x mln euro";"5880";"5925"
"Bedrijfsopbrengsten";"Netto-omzet";"4638 Groothandel in overige voeding";"x mln euro";"8729";"9332"
"Bedrijfsopbrengsten";"Netto-omzet";"4639 Groothandel in voeding algemeen";"x mln euro";"15814";"16774"
"Bedrijfsopbrengsten";"Netto-omzet";"464 Groothandel in non-food";"x mln euro";"75558";"79627"
"Bedrijfsopbrengsten";"Netto-omzet";"4642 Groothandel in kleding en schoenen";"x mln euro";"8729";"9814"
"Bedrijfsopbrengsten";"Netto-omzet";"4643 Groothandel consumentenapparatuur";"x mln euro";"10608";"11065"
"Bedrijfsopbrengsten";"Netto-omzet";"4646 Groothandel in medische artikelen";"x mln euro";"30436";"29067"
"Bedrijfsopbrengsten";"Netto-omzet";"4647 Groothandel in woninginrichting";"x mln euro";"2763";"2841"
"Bedrijfsopbrengsten";"Netto-omzet";"465 Groothandel in ICT-apparatuur";"x mln euro";"51267";"59607"
