"code","labels","SBI1","SBI2","SBI3","SBI4","SBI.level"
"55.10.1","Hotel-restaurants","I","55","1","0","SBI4"
"55.10.2","Hotels (geen hotel-restaurants), pensions en conferentie-oorden","I","55","1","0","SBI4"
"55.2","Verhuur van vakantiehuisjes en appartementen; jeugdherbergen en vakantiekampen ","I","55","2",,"SBI3"
"55.20","Verhuur van vakantiehuisjes en appartementen; jeugdherbergen en vakantiekampen ","I","55","2","0","SBI4"
"55.20.1","Verhuur van vakantiehuisjes en appartementen","I","55","2","0","SBI4"
"55.20.2","Jeugdherbergen en vakantiekampen","I","55","2","0","SBI4"
"55.3","Kampeerterreinen","I","55","3",,"SBI3"
"55.30","Kampeerterreinen","I","55","3","0","SBI4"
"55.9","Overige logiesverstrekking","I","55","9",,"SBI3"
"55.90","Overige logiesverstrekking","I","55","9","0","SBI4"
"56","Eet- en drinkgelegenheden","I","56",,,"SBI2"
"56.1","Restaurants, cafetaria's e.d.","I","56","1",,"SBI3"
"56.10","Restaurants, cafetaria's e.d. en ijssalons ","I","56","1","0","SBI4"
"56.10.1","Restaurants","I","56","1","0","SBI4"
"56.10.2","Cafetaria's, lunchrooms, snackbars, eetkramen e.d.  ","I","56","1","0","SBI4"
"56.10.3","IJssalons ","I","56","1","0","SBI4"
"56.2","Kantines en catering","I","56","2",,"SBI3"
"56.21","Eventcatering","I","56","2","1","SBI4"
"56.29","Kantines en contractcatering ","I","56","2","9","SBI4"
"56.3","Cafés","I","56","3",,"SBI3"
"56.30","Cafés","I","56","3","0","SBI4"
"J","Informatie en communicatie","J",,,,"SBI1"
"58","Uitgeverijen","J","58",,,"SBI2"
"58.1","Uitgeverijen van boeken, tijdschriften e.d.","J","58","1",,"SBI3"
"58.11","Uitgeverijen van boeken","J","58","1","1","SBI4"
"58.13","Uitgeverijen van kranten","J","58","1","3","SBI4"
"58.14","Uitgeverijen van tijdschriften","J","58","1","4","SBI4"
"58.19","Overige uitgeverijen (niet van software)","J","58","1","9","SBI4"
"58.2","Uitgeverijen van software","J","58","2",,"SBI3"
"58.21","Uitgeverijen van computerspellen","J","58","2","1","SBI4"
"58.29","Overige uitgeverijen van software","J","58","2","9","SBI4"
"59","Productie en distributie van films en televisieprogramma´s; maken en uitgeven van geluidsopnamen","J","59",,,"SBI2"
"59.1","Productie en distributie van films en televisieprogramma's","J","59","1",,"SBI3"
"59.11","Productie van films en televisieprogramma's","J","59","1","1","SBI4"
"59.11.1","Productie van films (geen televisiefilms)","J","59","1","1","SBI4"
"59.11.2","Productie van televisieprogramma's","J","59","1","1","SBI4"
"59.12","Facilitaire activiteiten voor film- en televisieproductie","J","59","1","2","SBI4"
"59.13","Distributie van films en televisieproducties","J","59","1","3","SBI4"
"59.14","Bioscopen","J","59","1","4","SBI4"
"59.2","Maken en uitgeven van geluidsopnamen ","J","59","2",,"SBI3"
"59.20","Maken en uitgeven van geluidsopnamen ","J","59","2","0","SBI4"
"60","Verzorgen en uitzenden van radio- en televisieprogramma's","J","60",,,"SBI2"
"60.1","Radio-omroepen","J","60","1",,"SBI3"
"60.10","Radio-omroepen","J","60","1","0","SBI4"
"60.2","Televisie-omroepen","J","60","2",,"SBI3"
"60.20","Televisie-omroepen","J","60","2","0","SBI4"
"61","Telecommunicatie","J","61",,,"SBI2"
"61.1","Draadgebonden telecommunicatie","J","61","1",,"SBI3"
"61.10","Draadgebonden telecommunicatie","J","61","1","0","SBI4"
"61.2","Draadloze telecommunicatie","J","61","2",,"SBI3"
"61.20","Draadloze telecommunicatie","J","61","2","0","SBI4"
"61.3","Telecommunicatie via satelliet","J","61","3",,"SBI3"
"61.30","Telecommunicatie via satelliet","J","61","3","0","SBI4"
"61.9","Overige telecommunicatie","J","61","9",,"SBI3"
"61.90","Overige telecommunicatie","J","61","9","0","SBI4"
"62","Dienstverlenende activiteiten op het gebied van informatietechnologie","J","62",,,"SBI2"
"62.0","Dienstverlenende activiteiten op het gebied van informatietechnologie","J","62","0",,"SBI3"
"62.01","Ontwikkelen, produceren en uitgeven van software","J","62","0","1","SBI4"
"62.02","Advisering op het gebied van informatietechnologie","J","62","0","2","SBI4"
"62.03","Beheer van computerfaciliteiten","J","62","0","3","SBI4"
"62.09","Overige dienstverlenende activiteiten op het gebied van informatietechnologie","J","62","0","9","SBI4"
"63","Dienstverlenende activiteiten op het gebied van informatie","J","63",,,"SBI2"
"63.1","Gegevensverwerking, webhosting en aanverwante activiteiten; webportalen","J","63","1",,"SBI3"
"63.11","Gegevensverwerking, webhosting en aanverwante activiteiten","J","63","1","1","SBI4"
"63.12","Webportals","J","63","1","2","SBI4"
"63.2","Overige dienstverlenende activiteiten op het gebied van informatie","J","63","2",,"SBI3"
"63.21","Persagentschappen","J","63","2","1","SBI4"
"63.29","Overige dienstverlenende activiteiten op het gebied van informatie n.e.g.","J","63","2","9","SBI4"
"K","Financiële instellingen ","K",,,,"SBI1"
"64","Financiële instellingen (geen verzekeringen en pensioenfondsen)","K","64",,,"SBI2"
"64.1","Geldscheppende financiële instellingen","K","64","1",,"SBI3"
"64.11","Centrale banken","K","64","1","1","SBI4"
"64.19","Overige geldscheppende financiële instellingen","K","64","1","9","SBI4"
"64.19.1","Coöperatief georganiseerde banken","K","64","1","9","SBI4"
"64.19.2","Effectenkredietinstellingen","K","64","1","9","SBI4"
"64.19.3","Spaarbanken","K","64","1","9","SBI4"
"64.19.4","Algemene banken","K","64","1","9","SBI4"
"64.2","Financiële holdings","K","64","2",,"SBI3"
"64.20","Financiële holdings","K","64","2","0","SBI4"
"64.3","Beleggingsinstellingen","K","64","3",,"SBI3"
"64.30","Beleggingsinstellingen","K","64","3","0","SBI4"
"64.30.1","Beleggingsinstellingen in financiële activa","K","64","3","0","SBI4"
"64.30.2","Beleggingsinstellingen in vaste activa","K","64","3","0","SBI4"
"64.30.3","Beleggingsinstellingen met beperkte toetreding","K","64","3","0","SBI4"
"64.9","Kredietverstrekking en overige financiële intermediatie","K","64","9",,"SBI3"
"64.91","Financiële lease","K","64","9","1","SBI4"
"64.92","Overige kredietverstrekking","K","64","9","2","SBI4"
"64.92.1","Hypotheekbanken en bouwfondsen","K","64","9","2","SBI4"
"64.92.2","Volkskredietbanken en commerciële financieringsmaatschappijen","K","64","9","2","SBI4"
"64.92.3","Participatiemaatschappijen","K","64","9","2","SBI4"
"64.92.4","Wisselmakelaars en overige kredietverstrekking","K","64","9","2","SBI4"
"64.99","Overige financiële intermediatie","K","64","9","9","SBI4"
"65","Verzekeringen en pensioenfondsen (geen verplichte sociale verzekeringen)","K","65",,,"SBI2"
"65.1","Verzekeringen (geen herverzekering)","K","65","1",,"SBI3"
"65.11","Levensverzekeringen (geen herverzekering), naturaverzekeringen en spaarkassen","K","65","1","1","SBI4"
"65.11.1","Levensverzekeringen (geen herverzekering) ","K","65","1","1","SBI4"
"65.11.2","Naturaverzekeringen ","K","65","1","1","SBI4"
"65.11.3","Spaarkassen","K","65","1","1","SBI4"
"65.12","Schadeverzekeringen (geen herverzekering)","K","65","1","2","SBI4"
"65.2","Herverzekering","K","65","2",,"SBI3"
"65.20","Herverzekering","K","65","2","0","SBI4"
"65.3","Pensioenfondsen","K","65","3",,"SBI3"
"65.30","Pensioenfondsen","K","65","3","0","SBI4"
"65.30.1","Bedrijfspensioenfondsen","K","65","3","0","SBI4"
"65.30.2","Ondernemingspensioenfondsen en -spaarfondsen","K","65","3","0","SBI4"
"65.30.3","Beroepspensioenfondsen","K","65","3","0","SBI4"
"65.30.9","Overige pensioenfondsen","K","65","3","0","SBI4"
"66","Overige financiële dienstverlening","K","66",,,"SBI2"
"66.1","Financiële bemiddeling, advisering e.d. (niet voor verzekeringen en pensioenfondsen)","K","66","1",,"SBI3"
"66.11","Beheer van financiële markten","K","66","1","1","SBI4"
"66.12","Commissionairs en makelaars in effecten, beleggingsadviseurs e.d.","K","66","1","2","SBI4"
"66.19","Administratiekantoren voor aandelen en obligaties, marketmakers, hypotheek- en krediet-","K","66","1","9","SBI4"
"66.19.1","Administratiekantoren voor aandelen en obligaties","K","66","1","9","SBI4"
"66.19.2","Marketmakers","K","66","1","9","SBI4"
"66.19.3","Hypotheek- en kredietbemiddeling, geldwisselkantoren, bank- en spaaragentschappen e.d.","K","66","1","9","SBI4"
"66.2","Dienstverlening op het gebied van verzekeringen en pensioenfondsen","K","66","2",,"SBI3"
"66.21","Risicoanalisten en schadetaxateurs","K","66","2","1","SBI4"
"66.22","Assurantietussenpersonen","K","66","2","2","SBI4"
"66.29","Overige dienstverlening op het gebied van verzekeringen en pensioenfondsen (geen taxateurs en ","K","66","2","9","SBI4"
"66.29.1","Verzekeringsbeurzen","K","66","2","9","SBI4"
"66.29.2","Actuariële en pensioenadviesbureaus; beheer en administratie van pensioenvermogens","K","66","2","9","SBI4"
"66.29.3","Waarborgfondsen","K","66","2","9","SBI4"
"66.29.9","Overige dienstverlening  op het gebied van verzekeringen en pensioenfondsen n.e.g.","K","66","2","9","SBI4"
"66.3","Vermogensbeheer","K","66","3",,"SBI3"
"66.30","Vermogensbeheer","K","66","3","0","SBI4"
"L","Verhuur van en handel in onroerend goed","L",,,,"SBI1"
"68","Verhuur van en handel in onroerend goed","L","68",,,"SBI2"
"68.1","Handel in eigen onroerend goed","L","68","1",,"SBI3"
"68.10","Handel in eigen onroerend goed","L","68","1","0","SBI4"
"68.2","Verhuur van onroerend goed","L","68","2",,"SBI3"
"68.20","Verhuur van onroerend goed","L","68","2","0","SBI4"
"68.20.1","Woningbouwverenigingen en -stichtingen","L","68","2","0","SBI4"
"68.20.2","Gemeentelijke woningbedrijven","L","68","2","0","SBI4"
"68.20.3","Verhuur van overige woonruimte","L","68","2","0","SBI4"
"68.20.4","Verhuur van onroerend goed (niet van woonruimte)","L","68","2","0","SBI4"
"68.3","Bemiddeling in en beheer van onroerend","L","68","3",,"SBI3"
"68.31","Bemiddeling bij handel, huur of verhuur van onroerend goed","L","68","3","1","SBI4"
"68.32","Beheer van onroerend goed","L","68","3","2","SBI4"
"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening ","M",,,,"SBI1"
"69","Rechtskundige dienstverlening, accountancy, belastingadvisering en administratie ","M","69",,,"SBI2"
"69.1","Rechtskundige dienstverlening","M","69","1",,"SBI3"
"69.10","Rechtskundige dienstverlening","M","69","1","0","SBI4"
"69.10.1","Advocatenkantoren ","M","69","1","0","SBI4"
"69.10.2","Rechtskundige adviesbureaus","M","69","1","0","SBI4"
"69.10.3","Notariskantoren","M","69","1","0","SBI4"
"69.10.4","Deurwaarderskantoren","M","69","1","0","SBI4"
"69.10.5","Octrooibureaus","M","69","1","0","SBI4"
"69.2","Accountancy, belastingadvisering en administratie","M","69","2",,"SBI3"
"69.20","Accountancy, belastingadvisering en administratie","M","69","2","0","SBI4"
"69.20.1","Registeraccountants","M","69","2","0","SBI4"
"69.20.2","Accountants-administratieconsulenten","M","69","2","0","SBI4"
"69.20.3","Boekhoudkantoren ","M","69","2","0","SBI4"
"69.20.4","Belastingconsulenten","M","69","2","0","SBI4"
"69.20.9","Overige administratiekantoren","M","69","2","0","SBI4"
"70","Holdings (geen financiële), concerndiensten binnen eigen concern en managementadvisering","M","70",,,"SBI2"
"70.1","Holdings (geen financiële) en concerndiensten binnen eigen concern","M","70","1",,"SBI3"
"70.10","Holdings (geen financiële) en concerndiensten binnen eigen concern","M","70","1","0","SBI4"
"70.10.1","Concerndiensten binnen eigen concern","M","70","1","0","SBI4"
"70.10.2","Holdings (geen financiële)","M","70","1","0","SBI4"
"70.2","Advisering op het gebied van management en bedrijfsvoering","M","70","2",,"SBI3"
"70.21","Public relationsbureaus","M","70","2","1","SBI4"
"70.22","Advisering op het gebied van management en bedrijfsvoering (geen public relations)","M","70","2","2","SBI4"
"70.22.1","Organisatie-adviesbureaus","M","70","2","2","SBI4"
"70.22.2","Advisering op het gebied van management en bedrijfsvoering (geen public relations en organisatie-","M","70","2","2","SBI4"
"71","Architecten, ingenieurs en technisch ontwerp en advies; keuring en controle","M","71",,,"SBI2"
"71.1","Architecten, ingenieurs en technisch ontwerp en advies","M","71","1",,"SBI3"
"71.11","Architecten","M","71","1","1","SBI4"
"71.12","Ingenieurs en overig technisch ontwerp en advies","M","71","1","2","SBI4"
"71.2","Keuring en controle","M","71","2",,"SBI3"
"71.20","Keuring en controle ","M","71","2","0","SBI4"
"71.20.1","Keuring en controle van agrarische producten en voedingsmiddelen","M","71","2","0","SBI4"
"71.20.2","Keuring en controle van machines, apparaten en materialen","M","71","2","0","SBI4"
"71.20.3","Overige keuring en controle","M","71","2","0","SBI4"
"72","Speur- en ontwikkelingswerk ","M","72",,,"SBI2"
"72.1","Natuurwetenschappelijk speur- en ontwikkelingswerk","M","72","1",,"SBI3"
"72.11","Biotechnologisch speur- en ontwikkelingswerk","M","72","1","1","SBI4"
"72.11.1","Biotechnologisch speur- en ontwikkelingswerk op het gebied van agrarische producten en processen","M","72","1","1","SBI4"
"72.11.2","Biotechnologisch speur- en ontwikkelingswerk op het gebied van medische producten en ","M","72","1","1","SBI4"
"72.11.3","Biotechnologisch speur- en ontwikkelingswerk voor overige toepassingen","M","72","1","1","SBI4"
"72.19","Natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch)","M","72","1","9","SBI4"
"72.19.1","Speur- en ontwikkelingswerk op het gebied van landbouw en visserij (niet biotechnologisch)","M","72","1","9","SBI4"
"72.19.2","Technisch speur- en ontwikkelingswerk","M","72","1","9","SBI4"
"72.19.3","Speur- en ontwikkelingswerk op het gebied van gezondheid en voeding (niet biotechnologisch)","M","72","1","9","SBI4"
"72.19.9","Overig natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch)","M","72","1","9","SBI4"
"72.2","Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen","M","72","2",,"SBI3"
"72.20","Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen","M","72","2","0","SBI4"
"73","Reclame en marktonderzoek","M","73",,,"SBI2"
"73.1","Reclamebureaus en  handel in advertentieruimte en -tijd","M","73","1",,"SBI3"
"73.11","Reclamebureaus","M","73","1","1","SBI4"
"73.12","Handel in advertentieruimte en -tijd","M","73","1","2","SBI4"
"73.2","Markt- en opinieonderzoekbureaus","M","73","2",,"SBI3"
"73.20","Markt- en opinieonderzoekbureaus","M","73","2","0","SBI4"
"74","Industrieel ontwerp en vormgeving, fotografie, vertaling en overige consultancy","M","74",,,"SBI2"
"74.1","Industrieel ontwerp en vormgeving","M","74","1",,"SBI3"
"74.10","Industrieel ontwerp en vormgeving","M","74","1","0","SBI4"
"74.2","Fotografie en ontwikkelen van foto's en films","M","74","2",,"SBI3"
"74.20","Fotografie en ontwikkelen van foto's en films","M","74","2","0","SBI4"
"74.20.1","Fotografie","M","74","2","0","SBI4"
"74.20.2","Ontwikkelwinkels","M","74","2","0","SBI4"
"74.20.3","Ontwikkelcentrales","M","74","2","0","SBI4"
"74.3","Vertalers en tolken","M","74","3",,"SBI3"
"74.30","Vertalers en tolken","M","74","3","0","SBI4"
"74.9","Overige specialistische zakelijke dienstverlening  ","M","74","9",,"SBI3"
"74.90","Overige specialistische zakelijke dienstverlening  ","M","74","9","0","SBI4"
"75","Veterinaire dienstverlening","M","75",,,"SBI2"
"75.0","Veterinaire dienstverlening","M","75","0",,"SBI3"
"75.00","Veterinaire dienstverlening","M","75","0","0","SBI4"
"N","Verhuur van roerende goederen en overige zakelijke dienstverlening ","N",,,,"SBI1"
"77","Verhuur en lease van auto's, consumentenartikelen, machines en overige roerende goederen","N","77",,,"SBI2"
"77.1","Verhuur en lease van auto's","N","77","1",,"SBI3"
"77.11","Verhuur en lease van personenauto's en lichte bedrijfsauto's","N","77","1","1","SBI4"
"77.11.1","Verhuur van personenauto's en lichte bedrijfsauto's (geen operational lease)","N","77","1","1","SBI4"
"77.11.2","Operational lease van personenauto's en lichte bedrijfsauto's","N","77","1","1","SBI4"
"77.12","Verhuur en lease van vrachtwagens, autobussen, caravans en aanhangwagens","N","77","1","2","SBI4"
"77.2","Verhuur van consumentenartikelen","N","77","2",,"SBI3"
"77.21","Verhuur van sport- en recreatieartikelen","N","77","2","1","SBI4"
"77.22","Videotheken","N","77","2","2","SBI4"
"77.29","Verhuur van overige consumentenartikelen","N","77","2","9","SBI4"
"77.29.1","Verhuur van leesportefeuilles","N","77","2","9","SBI4"
"77.29.2","Verhuur van kleding en huishoudelijke artikelen","N","77","2","9","SBI4"
"77.29.9","Verhuur van overige consumentenartikelen n.e.g. ","N","77","2","9","SBI4"
"77.3","Verhuur en lease van machines en werktuigen en van overige goederen","N","77","3",,"SBI3"
"77.31","Verhuur en lease van landbouwmachines en  werktuigen","N","77","3","1","SBI4"
"77.32","Verhuur en lease van machines en installaties voor de bouw","N","77","3","2","SBI4"
"77.33","Verhuur en lease van computers en kantoorapparatuur","N","77","3","3","SBI4"
"77.34","Verhuur en lease van schepen","N","77","3","4","SBI4"
"77.35","Verhuur en lease van vliegtuigen","N","77","3","5","SBI4"
"77.39","Verhuur en lease van overige machines en werktuigen en van overige goederen","N","77","3","9","SBI4"
"77.39.1","Verhuur van automaten","N","77","3","9","SBI4"
"77.39.9","Verhuur en lease van overige machines en werktuigen en van overige  goederen (geen ","N","77","3","9","SBI4"
"77.4","Lease van niet-financiële immateriële activa","N","77","4",,"SBI3"
"77.40","Lease van niet-financiële immateriële activa","N","77","4","0","SBI4"
"78","Arbeidsbemiddeling, uitzendbureaus en personeelsbeheer","N","78",,,"SBI2"
"78.1","Arbeidsbemiddeling","N","78","1",,"SBI3"
"78.10","Arbeidsbemiddeling","N","78","1","0","SBI4"
"78.2","Uitzendbureaus, uitleenbureaus en banenpools","N","78","2",,"SBI3"
"78.20","Uitzendbureaus, uitleenbureaus en banenpools","N","78","2","0","SBI4"
"78.20.1","Uitzendbureaus ","N","78","2","0","SBI4"
"78.20.2","Uitleenbureaus","N","78","2","0","SBI4"
"78.20.3","Banenpools (werkgelegenheidsprojecten)","N","78","2","0","SBI4"
"78.3","Payrolling (personeelsbeheer)","N","78","3",,"SBI3"
"78.30","Payrolling (personeelsbeheer)","N","78","3","0","SBI4"
"79","Reisbemiddeling, reisorganisatie, toeristische informatie en reserveringsbureaus","N","79",,,"SBI2"
"79.1","Reisbemiddeling en reisorganisatie","N","79","1",,"SBI3"
"79.11","Reisbemiddeling","N","79","1","1","SBI4"
"79.12","Reisorganisatie","N","79","1","2","SBI4"
"79.9","Informatieverstrekking op het gebied van toerisme en reserveringsbureaus","N","79","9",,"SBI3"
"79.90","Informatieverstrekking op het gebied van toerisme en reserveringsbureaus","N","79","9","0","SBI4"
"80","Beveiliging en opsporing","N","80",,,"SBI2"
"80.1","Particuliere beveiliging ","N","80","1",,"SBI3"
"80.10","Particuliere beveiliging ","N","80","1","0","SBI4"
"80.2","Beveiliging via  beveiligingssystemen","N","80","2",,"SBI3"
"80.20","Beveiliging via  beveiligingssystemen","N","80","2","0","SBI4"
"80.3","Opsporing","N","80","3",,"SBI3"
"80.30","Opsporing","N","80","3","0","SBI4"
"81","Facility management, reiniging en landschapsverzorging","N","81",,,"SBI2"
"81.1","Facility management","N","81","1",,"SBI3"
"81.10","Facility management","N","81","1","0","SBI4"
"81.2","Reiniging","N","81","2",,"SBI3"
"81.21","Interieurreiniging van gebouwen","N","81","2","1","SBI4"
"81.22","Gespecialiseerde reiniging van gebouwen en industriële reiniging","N","81","2","2","SBI4"
"81.29","Overige reiniging ","N","81","2","9","SBI4"
"81.3","Landschapsverzorging","N","81","3",,"SBI3"
"81.30","Landschapsverzorging","N","81","3","0","SBI4"
"82","Overige zakelijke dienstverlening","N","82",,,"SBI2"
"82.1","Brede administratieve en secretariële dienstverlening ","N","82","1",,"SBI3"
"82.11","Brede administratieve dienstverlening ","N","82","1","1","SBI4"
"82.19","Secretariële dienstverlening ","N","82","1","9","SBI4"
"82.2","Callcenters","N","82","2",,"SBI3"
"82.20","Callcenters","N","82","2","0","SBI4"
"82.3","Organiseren van congressen en beurzen","N","82","3",,"SBI3"
"82.30","Organiseren van congressen en beurzen","N","82","3","0","SBI4"
"82.9","Overige zakelijke dienstverlening n.e.g.","N","82","9",,"SBI3"
"82.91","Kredietinformatie- en incassobureaus","N","82","9","1","SBI4"
"82.92","Pakken, sorteren e.d. in loon","N","82","9","2","SBI4"
"82.99","Overige zakelijke dienstverlening n.e.g.","N","82","9","9","SBI4"
"82.99.1","Veilingen van landbouw-, tuinbouw- en visserijproducten","N","82","9","9","SBI4"
"82.99.2","Veilingen van huisraad, kunst, antiek, machines e.d. roerende goederen","N","82","9","9","SBI4"
"82.99.9","Overige zakelijke dienstverlening n.e.g. ","N","82","9","9","SBI4"
"O"," Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen","O",,,,"SBI1"
"84","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen","O","84",,,"SBI2"
"84.1","Openbaar bestuur","O","84","1",,"SBI3"
"84.11","Algemeen overheidsbestuur","O","84","1","1","SBI4"
"84.12","Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale ","O","84","1","2","SBI4"
"84.13","Openbaar bestuur op het gebied van het bedrijfsleven","O","84","1","3","SBI4"
"84.2","Overheidsdiensten","O","84","2",,"SBI3"
"84.21","Buitenlandse zaken","O","84","2","1","SBI4"
"84.22","Defensie","O","84","2","2","SBI4"
"84.23","Justitie","O","84","2","3","SBI4"
"84.23.1","Rechtspraak","O","84","2","3","SBI4"
"84.23.2","Ministerie van Justitie en gevangeniswezen","O","84","2","3","SBI4"
"84.24","Politie","O","84","2","4","SBI4"
"84.25","Brandweer","O","84","2","5","SBI4"
"84.3","Verplichte sociale verzekeringen","O","84","3",,"SBI3"
"84.30","Verplichte sociale verzekeringen","O","84","3","0","SBI4"
"P","Onderwijs ","P",,,,"SBI1"
"85","Onderwijs","P","85",,,"SBI2"
"85.2","Primair en speciaal onderwijs","P","85","2",,"SBI3"
"85.20","Primair en speciaal onderwijs","P","85","2","0","SBI4"
"85.20.1","Basisonderwijs voor leerplichtigen","P","85","2","0","SBI4"
"85.20.2","Speciaal basisonderwijs","P","85","2","0","SBI4"
"85.20.3","Speciaal onderwijs in expertisecentra","P","85","2","0","SBI4"
"85.3","Voortgezet onderwijs","P","85","3",,"SBI3"
"85.31","Algemeen vormend voortgezet onderwijs","P","85","3","1","SBI4"
"85.31.1","Havo en vwo","P","85","3","1","SBI4"
"85.31.2","Voorbereidend middelbaar beroepsonderwijs","P","85","3","1","SBI4"
"85.31.3","Praktijkonderwijs","P","85","3","1","SBI4"
"85.31.4","Brede scholengemeenschappen voor voortgezet onderwijs","P","85","3","1","SBI4"
"85.32","Middelbaar beroepsonderwijs en educatie","P","85","3","2","SBI4"
"85.32.1","Middelbaar beroepsonderwijs","P","85","3","2","SBI4"
"85.32.2","Educatie","P","85","3","2","SBI4"
"85.32.3","Middelbaar beroepsonderwijs en educatie (gecombineerd)","P","85","3","2","SBI4"
"85.4","Tertiair onderwijs","P","85","4",,"SBI3"
"85.41","Niet-universitair hoger onderwijs","P","85","4","1","SBI4"
"85.42","Universitair hoger onderwijs","P","85","4","2","SBI4"
"85.5","Overig onderwijs","P","85","5",,"SBI3"
"85.51","Sport- en recreatieonderwijs","P","85","5","1","SBI4"
"85.51.1","Zeil- en surfscholen","P","85","5","1","SBI4"
"85.51.9","Overig sport- en recreatieonderwijs","P","85","5","1","SBI4"
"85.52","Cultureel onderwijs ","P","85","5","2","SBI4"
"85.52.1","Dansscholen","P","85","5","2","SBI4"
"85.52.2","Kunstzinnige vorming van amateurs (geen dansscholen)","P","85","5","2","SBI4"
"85.53","Auto- en motorrijscholen","P","85","5","3","SBI4"
"85.59","Overig onderwijs n.e.g.","P","85","5","9","SBI4"
"85.59.1","Afstandsonderwijs","P","85","5","9","SBI4"
"85.59.2","Bedrijfsopleiding en -training","P","85","5","9","SBI4"
"85.59.9","Studiebegeleiding, vorming en onderwijs n.e.g.","P","85","5","9","SBI4"
"85.6","Dienstverlening voor het onderwijs","P","85","6",,"SBI3"
"85.60","Dienstverlening voor het onderwijs","P","85","6","0","SBI4"
"Q","Gezondheids- en welzijnszorg ","Q",,,,"SBI1"
"86"," Gezondheidszorg","Q","86",,,"SBI2"
"86.1","Ziekenhuizen","Q","86","1",,"SBI3"
"86.10","Ziekenhuizen","Q","86","1","0","SBI4"
"86.10.1","Universitair medische centra ","Q","86","1","0","SBI4"
"86.10.2","Algemene ziekenhuizen ","Q","86","1","0","SBI4"
"86.10.3","Categorale ziekenhuizen ","Q","86","1","0","SBI4"
"86.10.4","Geestelijke gezondheids- en verslavingszorg met overnachting","Q","86","1","0","SBI4"
"86.2","Medische en tandheelkundige praktijken ","Q","86","2",,"SBI3"
"86.21","Praktijken van huisartsen","Q","86","2","1","SBI4"
"86.22","Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde)","Q","86","2","2","SBI4"
"86.22.1","Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of ","Q","86","2","2","SBI4"
"86.22.2","Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg","Q","86","2","2","SBI4"
"86.23","Tandartspraktijken","Q","86","2","3","SBI4"
"86.23.1","Praktijken van tandartsen","Q","86","2","3","SBI4"
"86.23.2","Praktijken van tandheelkundig specialisten","Q","86","2","3","SBI4"
"86.9","Paramedische praktijken en overige gezondheidszorg zonder overnachting","Q","86","9",,"SBI3"
"86.91","Praktijken van verloskundigen en paramedici","Q","86","9","1","SBI4"
"86.91.1","Praktijken van verloskundigen","Q","86","9","1","SBI4"
"86.91.2","Praktijken van fysiotherapeuten","Q","86","9","1","SBI4"
"86.91.3","Praktijken van psychotherapeuten en psychologen","Q","86","9","1","SBI4"
"86.91.9","Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers","Q","86","9","1","SBI4"
"86.92","Overige aanbieders van gezondheidszorg zonder overnachting en gezondheidsondersteunende ","Q","86","9","2","SBI4"
"86.92.1","Gezondheidscentra","Q","86","9","2","SBI4"
"86.92.2","Arbobegeleiding en reïntegratie","Q","86","9","2","SBI4"
"86.92.3","Preventieve gezondheidszorg (geen arbobegeleiding)","Q","86","9","2","SBI4"
"86.92.4","Medische laboratoria, trombodediensten en overig behandelingsondersteunend onderzoek ","Q","86","9","2","SBI4"
"86.92.5","Ambulancediensten en centrale posten","Q","86","9","2","SBI4"
"86.92.9","Samenwerkingsorganen op het gebied van gezondheidszorg en overige ","Q","86","9","2","SBI4"
"87","Verpleging, verzorging en begeleiding met overnachting","Q","87",,,"SBI2"
"87.1","Verpleeghuizen","Q","87","1",,"SBI3"
"87.10","Verpleeghuizen","Q","87","1","0","SBI4"
"87.2","Huizen en dagverblijven voor verstandelijk gehandicapten en psychiatrische cliënten","Q","87","2",,"SBI3"
"87.20","Huizen en dagverblijven voor verstandelijk gehandicapten en psychiatrische cliënten ","Q","87","2","0","SBI4"
"87.3","Huizen en dagverblijven voor niet-verstandelijk gehandicapten en verzorgingshuizen ","Q","87","3",,"SBI3"
"87.30","Huizen en dagverblijven voor niet-verstandelijk gehandicapten en verzorgingshuizen ","Q","87","3","0","SBI4"
"87.30.1","Huizen en dagverblijven voor niet-verstandelijk gehandicapten ","Q","87","3","0","SBI4"
"87.30.2","Verzorgingshuizen","Q","87","3","0","SBI4"
"87.9","Jeugdzorg en maatschappelijke opvang met overnachting","Q","87","9",,"SBI3"
"87.90","Jeugdzorg en maatschappelijke opvang met overnachting ","Q","87","9","0","SBI4"
"87.90.1","Jeugdzorg met overnachting en dagverblijven voor jeugdzorg","Q","87","9","0","SBI4"
