"Subjects_1";"Subjects_2";"Sector/branches (SIC 2008)";"Periods";"2010";"2011"
"Labour volume persons employed";"Employed person";"73 Advertising and market research";"x 1 000";"59.3";"63.0"
"Labour volume persons employed";"Employed person";"731 Advertising";"x 1 000";"43.8";"47.7"
"Labour volume persons employed";"Employed person";"732 Market research and opinion polling ";"x 1 000";"15.5";"15.2"
"Labour volume persons employed";"Employed person";"74 Other specialised business services";"x 1 000";"42.9";"47.9"
"Labour volume persons employed";"Employed person";"75 Veterinary activities";"x 1 000";"6.0";"7.0"
"Labour volume persons employed";"Employed person";"N Renting and other business support";"x 1 000";"302.2";"310.2"
"Labour volume persons employed";"Employed person";"77 Renting and leasing of tangible goods";"x 1 000";"31.4";"31.4"
"Labour volume persons employed";"Employed person";"771 Renting of motor vehicles";"x 1 000";"5.4";"6.4"
"Labour volume persons employed";"Employed person";"772 Renting of consumer goods";"x 1 000";"9.6";"10.0"
"Labour volume persons employed";"Employed person";"78 Employment activities";"x 1 000";"63.9";"66.0"
"Labour volume persons employed";"Employed person";"781 Employment placement agencies";"x 1 000";"10.8";"11.6"
"Labour volume persons employed";"Employed person";"782 Provision of temporary employment";"x 1 000";"52.4";"53.1"
"Labour volume persons employed";"Employed person";"78203 Job pools (employment projects)";"x 1 000";"1.3";"."
"Labour volume persons employed";"Employed person";"783 Payrolling";"x 1 000";"0.7";"."
"Labour volume persons employed";"Employed person";"79 Travel agencies, tour operators etc";"x 1 000";"18.9";"20.3"
"Labour volume persons employed";"Employed person";"7912 Tour operators";"x 1 000";"6.3";"6.7"
"Labour volume persons employed";"Employed person";"80 Security and investigation";"x 1 000";"32.0";"32.4"
"Labour volume persons employed";"Employed person";"81 Facility management";"x 1 000";"122.3";"124.9"
"Labour volume persons employed";"Employed person";"812 Cleaning activities";"x 1 000";"97.5";"98.3"
"Labour volume persons employed";"Employed person";"8121 General cleaning of buildings";"x 1 000";"83.5";"81.9"
"Labour volume persons employed";"Employed person";"82 Other business services";"x 1 000";"33.6";"35.2"
"Labour volume persons employed";"Employed person";"95 Repair computers and consumer goods";"x 1 000";"11.4";"11.6"
"Labour volume persons employed";"Employed person";"96 Other personal services";"x 1 000";"79.6";"77.8"
"Labour volume persons employed";"Employed person";"9601 Cleaning of clothes of textile ";"x 1 000";"9.6";"10.0"
"Labour volume persons employed";"Employed person";"9602 Hairdressing and beauty treatment";"x 1 000";"59.0";"56.6"
"Labour volume persons employed";"Employed person";"9603 Funeral and related activities";"x 1 000";"5.7";"5.8"
"Operating returns";"Net turnover";"016 Support activities for agriculture";"x mln euro";"3843";"4660"
"Operating returns";"Net turnover";"B-E Industry (no construction), energy";"x mln euro";"359183";"401106"
"Operating returns";"Net turnover";"B Mining and quarrying ";"x mln euro";"38194";"42274"
"Operating returns";"Net turnover";"06 Extraction of crude petroleum and gas";"x mln euro";"34829";"38608"
"Operating returns";"Net turnover";"08 Mining and quarrying (no oil and gas)";"x mln euro";"996";"1174"
"Operating returns";"Net turnover";"09 Mining support activities";"x mln euro";"2369";"2493"
"Operating returns";"Net turnover";"C Manufacturing";"x mln euro";"271274";"307818"
"Operating returns";"Net turnover";"10-12 Manufacture of food and beverages";"x mln euro";"59583";"65953"
"Operating returns";"Net turnover";"10 Manufacture of food products";"x mln euro";"51764";"57945"
"Operating returns";"Net turnover";"101 Slaughtering, processing of meat";"x mln euro";"8417";"9238"
"Operating returns";"Net turnover";"1011 Slaughterhouses (no poultry)";"x mln euro";"3994";"4339"
"Operating returns";"Net turnover";"1012 Slaughterhouses (poultry)";"x mln euro";"2157";"2455"
"Operating returns";"Net turnover";"1013 Processing of meat (no dishes)";"x mln euro";"2266";"2444"
"Operating returns";"Net turnover";"102 Processing of fish";"x mln euro";"798";"855"
"Operating returns";"Net turnover";"103  Processing of vegetables and fruit";"x mln euro";"4509";"4985"
"Operating returns";"Net turnover";"1031 Processing of potatoes";"x mln euro";"1756";"2102"
"Operating returns";"Net turnover";"104 Manufacture of edible oils and fats";"x mln euro";"5369";"6973"
"Operating returns";"Net turnover";"105 Manufacture of dairy products";"x mln euro";"8861";"10531"
"Operating returns";"Net turnover";"106 Grain milling and starch products";"x mln euro";"2012";"2176"
"Operating returns";"Net turnover";"1061 Manufacture of grain mill products";"x mln euro";"675";"883"
"Operating returns";"Net turnover";"1062 Manufacture of starches";"x mln euro";"1337";"1294"
"Operating returns";"Net turnover";"107 Manufacture of bakery products";"x mln euro";"4436";"4516"
"Operating returns";"Net turnover";"1072 Manufacture of preserved pastry";"x mln euro";"1451";"1375"
"Operating returns";"Net turnover";"108 Manufacture of other food";"x mln euro";"11097";"11110"
"Operating returns";"Net turnover";"1082 Manufacture of cocoa,confectionary ";"x mln euro";"4122";"4176"
"Operating returns";"Net turnover";"109 Manufacture of animal foods";"x mln euro";"6265";"7562"
"Operating returns";"Net turnover";"11 Manufacture of beverages";"x mln euro";"4660";"4732"
"Operating returns";"Net turnover";"1107 Manufacture of soft drinks";"x mln euro";"1388";"1461"
"Operating returns";"Net turnover";"12 Manufacture of tobacco products";"x mln euro";"3159";"3276"
"Operating returns";"Net turnover";"13-15 Man. of textile-, leatherproducts";"x mln euro";"3378";"3677"
"Operating returns";"Net turnover";"13 Manufacture of textiles";"x mln euro";"2500";"2789"
"Operating returns";"Net turnover";"139 Manufacture of other textiles";"x mln euro";"1980";"2196"
"Operating returns";"Net turnover";"14 Manufacture of wearing apparel";"x mln euro";"505";"451"
"Operating returns";"Net turnover";"15 Manufacture of leather and footwear";"x mln euro";"374";"438"
"Operating returns";"Net turnover";"16+23 Man of wooden and buildingmaterial";"x mln euro";"8814";"9679"
"Operating returns";"Net turnover";"16 Manufacture of wood products";"x mln euro";"2769";"2906"
"Operating returns";"Net turnover";"161 Sawmilling and planing of wood";"x mln euro";"383";"372"
"Operating returns";"Net turnover";"162 Manufacture of products of wood";"x mln euro";"2386";"2533"
"Operating returns";"Net turnover";"1623 Manufacture other builders' joinery";"x mln euro";"1517";"1614"
"Operating returns";"Net turnover";"17-18 Manufacture of paper and printing";"x mln euro";"10628";"10859"
"Operating returns";"Net turnover";"17 Manufacture of paper ";"x mln euro";"5879";"6208"
"Operating returns";"Net turnover";"171 Manufacture of pulp, paper,  -board";"x mln euro";"1538";"1738"
"Operating returns";"Net turnover";"172 Manufacture of articles of paper";"x mln euro";"4341";"4470"
"Operating returns";"Net turnover";"1721 Manufacture corrugated paper(board)";"x mln euro";"1995";"2207"
"Operating returns";"Net turnover";"18 Printing and reproduction";"x mln euro";"4749";"4651"
"Operating returns";"Net turnover";"181 Printing and services for printing";"x mln euro";"4636";"4529"
"Operating returns";"Net turnover";"1812 Other printing";"x mln euro";"3988";"3885"
"Operating returns";"Net turnover";"182 Reproduction of recorded media";"x mln euro";"113";"122"
"Operating returns";"Net turnover";"19-22 Refineries and chemistry";"x mln euro";"93057";"113093"
"Operating returns";"Net turnover";"19 Manufacture of coke and petroleum ";"x mln euro";"37239";"49043"
"Operating returns";"Net turnover";"19201 Refining of petroleum";"x mln euro";"36841";"48547"
"Operating returns";"Net turnover";"20-21 Chemistry and pharmaceuticals";"x mln euro";"48627";"56149"
"Operating returns";"Net turnover";"20 Manufacture of chemicals";"x mln euro";"42255";"50094"
"Operating returns";"Net turnover";"201 Manufacture of basic chemicals";"x mln euro";"34142";"41274"
"Operating returns";"Net turnover";"2013 Manufacture other inorganic chemic";"x mln euro";"1946";"2027"
"Operating returns";"Net turnover";"2014 Manufacture other organic chemicals";"x mln euro";"18467";"18944"
"Operating returns";"Net turnover";"20141 Manufacture of petrochemicals";"x mln euro";"12371";"15077"
"Operating returns";"Net turnover";"20149 Manufacture other organic chemical";"x mln euro";"6096";"3867"
"Operating returns";"Net turnover";"2015 Manufacture of fertilisers";"x mln euro";"2226";"2543"
"Operating returns";"Net turnover";"2016 Manufacture plastics (primary form)";"x mln euro";"9191";"14794"
"Operating returns";"Net turnover";"203 Manufacture of paints and ink";"x mln euro";"1810";"2016"
"Operating returns";"Net turnover";"205 Manufacture of other chemicals";"x mln euro";"3825";"4522"
"Operating returns";"Net turnover";"206 Manufacture of man-made fibres";"x mln euro";"873";"846"
"Operating returns";"Net turnover";"21 Manufacture of pharmaceuticals";"x mln euro";"6371";"6055"
"Operating returns";"Net turnover";"211 Manufacture of basic pharmaceuticals";"x mln euro";"120";"115"
"Operating returns";"Net turnover";"212 Manufacture of pharmaceuticals";"x mln euro";"6251";"5940"
"Operating returns";"Net turnover";"22 Manufacture rubber, plastic products";"x mln euro";"7192";"7901"
"Operating returns";"Net turnover";"221 Manufacture of rubber products";"x mln euro";"709";"870"
"Operating returns";"Net turnover";"222 Manufacture of plastic products";"x mln euro";"6483";"7031"
"Operating returns";"Net turnover";"2221 Manufacture plastic plates, tubes";"x mln euro";"2569";"2650"
"Operating returns";"Net turnover";"2229 Manufacture other plastic products";"x mln euro";"1653";"1606"
"Operating returns";"Net turnover";"23 Manufacture of building materials";"x mln euro";"6045";"6774"
"Operating returns";"Net turnover";"231 Manufacture of glass ";"x mln euro";"1052";"1110"
"Operating returns";"Net turnover";"236 Manufacture concrete etc. products";"x mln euro";"3114";"3445"
"Operating returns";"Net turnover";"2361 Manufacture of concrete products";"x mln euro";"2010";"2281"
"Operating returns";"Net turnover";"237 Stone dressing";"x mln euro";"288";"299"
"Operating returns";"Net turnover";"24-30, 33 Metalectro-industry";"x mln euro";"88602";"97319"
"Operating returns";"Net turnover";"24-25 Man. of basic metals and -products";"x mln euro";"26435";"28859"
"Operating returns";"Net turnover";"24 Manufacture of basic metals";"x mln euro";"8199";"8820"
"Operating returns";"Net turnover";"241 Manufacture of iron and steel";"x mln euro";"x";"x"
"Operating returns";"Net turnover";"244 Manufacture of non-ferrous metals";"x mln euro";"2232";"2395"
"Operating returns";"Net turnover";"245 Casting of metals";"x mln euro";"596";"731"
"Operating returns";"Net turnover";"25 Manufacture of metal products";"x mln euro";"18236";"20039"
"Operating returns";"Net turnover";"251 Manufacture metal structures, doors";"x mln euro";"7413";"8710"
"Operating returns";"Net turnover";"255 Forging, pressing, stamping";"x mln euro";"1951";"1959"
"Operating returns";"Net turnover";"256 Other treatment of metals, machining";"x mln euro";"3297";"3842"
"Operating returns";"Net turnover";"2561 Treatment and coating of metals";"x mln euro";"1329";"1466"
"Operating returns";"Net turnover";"2562 Machining";"x mln euro";"1968";"2376"
"Operating returns";"Net turnover";"257 Manufacture of hardware";"x mln euro";"625";"801"
"Operating returns";"Net turnover";"259 Manufacture of other metal products";"x mln euro";"3411";"3558"
"Operating returns";"Net turnover";"26-27 Elektrical and electron. Industry";"x mln euro";"19750";"19557"
"Operating returns";"Net turnover";"26-28 Manufact of electronics, machinery";"x mln euro";"40591";"45647"
"Operating returns";"Net turnover";"26 Manufacture of electronic products";"x mln euro";"14889";"14106"
"Operating returns";"Net turnover";"263 Manufacture communication equipment";"x mln euro";"284";"289"
"Operating returns";"Net turnover";"264 Manufacture of consumer electronics";"x mln euro";"540";"568"
"Operating returns";"Net turnover";"265 Manufacture of measuring instruments";"x mln euro";"2673";"2687"
"Operating returns";"Net turnover";"267 Manufacture of optical instruments ";"x mln euro";"191";"."
"Operating returns";"Net turnover";"27 Manufacture of electric equipment";"x mln euro";"4860";"5451"
"Operating returns";"Net turnover";"271 Manufacture of electric motors etc.";"x mln euro";"1258";"1332"
"Operating returns";"Net turnover";"273 Manufacture of wiring and -devices ";"x mln euro";"981";"1014"
"Operating returns";"Net turnover";"274 Manufacture of lighting equipment";"x mln euro";"1464";"1638"
"Operating returns";"Net turnover";"275 Manufacture of domestic appliances";"x mln euro";"484";"553"
"Operating returns";"Net turnover";"28 Manufacture of machinery n.e.c.";"x mln euro";"20842";"26090"
"Operating returns";"Net turnover";"281 Manufacture of engines, pumps etc.";"x mln euro";"3708";"3601"
"Operating returns";"Net turnover";"282 Manufacture of general machinery";"x mln euro";"7064";"8077"
"Operating returns";"Net turnover";"2822 Manufacture of lifting equipment";"x mln euro";"2927";"3319"
"Operating returns";"Net turnover";"2829 Manufacture general-use machinery ";"x mln euro";"2136";"2158"
"Operating returns";"Net turnover";"283 Manufacture agricultural machinery";"x mln euro";"1702";"2219"
"Operating returns";"Net turnover";"284 Manufacture of machine tools";"x mln euro";"317";"278"
"Operating returns";"Net turnover";"289 Manufacture other special machinery";"x mln euro";"8052";"11915"
"Operating returns";"Net turnover";"2899 Manufacture other special machinery";"x mln euro";"5564";"8822"
"Operating returns";"Net turnover";"29-30 Transport equipment";"x mln euro";"12796";"13889"
"Operating returns";"Net turnover";"29 Manufacture of cars and trailers";"x mln euro";"6521";"7959"
"Operating returns";"Net turnover";"291 Manufacture of motor vehicles";"x mln euro";"3931";"5268"
"Operating returns";"Net turnover";"292 Manufacture of bodies and trailers";"x mln euro";"1280";"1283"
"Operating returns";"Net turnover";"293 Manufacture of car parts";"x mln euro";"1310";"1408"
"Operating returns";"Net turnover";"30 Manufacture of other transport";"x mln euro";"6275";"5929"
"Operating returns";"Net turnover";"301 Building of ships and boats";"x mln euro";"4458";"4019"
"Operating returns";"Net turnover";"302 Manufacture of railway rolling stock";"x mln euro";"86";"111"
"Operating returns";"Net turnover";"309 Manufacture of transport n.e.c. ";"x mln euro";"884";"935"
"Operating returns";"Net turnover";"31 Manufacture of furniture";"x mln euro";"3444";"3346"
"Operating returns";"Net turnover";"3101 Manufacture business furniture etc";"x mln euro";"1772";"1767"
"Operating returns";"Net turnover";"32 Manufacture of other products";"x mln euro";"3766";"3892"
"Operating returns";"Net turnover";"325 Manufacture of medical instruments";"x mln euro";"1342";"1520"
"Operating returns";"Net turnover";"329 Manufacture of other products n.e.c.";"x mln euro";"1900";"1859"
"Operating returns";"Net turnover";"32991 Sheltered workshops";"x mln euro";"1333";"1368"
"Operating returns";"Net turnover";"33 Repair and installation of machinery";"x mln euro";"8780";"8924"
"Operating returns";"Net turnover";"331 Repair of machinery and equipment";"x mln euro";"6174";"6679"
"Operating returns";"Net turnover";"3311 Repair of fabricated metal products";"x mln euro";".";"."
"Operating returns";"Net turnover";"332 Installation of industrial machinery";"x mln euro";"2606";"2245"
"Operating returns";"Net turnover";"35-36 Energy and water";"x mln euro";"-";"42967"
"Operating returns";"Net turnover";"D Electricity and gas supply";"x mln euro";"40910";"41426"
"Operating returns";"Net turnover";"35 Electricity and gas supply";"x mln euro";"40910";"41426"
"Operating returns";"Net turnover";"3514 Trade of electricity and gas";"x mln euro";"x";"x"
"Operating returns";"Net turnover";"E Water supply and waste management";"x mln euro";"8806";"9588"
"Operating returns";"Net turnover";"36 Water collection and distribution";"x mln euro";"1537";"1541"
"Operating returns";"Net turnover";"37 Sewerage ";"x mln euro";"644";"658"
"Operating returns";"Net turnover";"38 Waste collection and treatment";"x mln euro";"6253";"6958"
"Operating returns";"Net turnover";"381 Waste collection";"x mln euro";"2365";"2332"
"Operating returns";"Net turnover";"382 Waste treatment and disposal";"x mln euro";"1869";"2075"
"Operating returns";"Net turnover";"383 Materials recovery";"x mln euro";"2020";"2552"
"Operating returns";"Net turnover";"39 Remediation, other waste management ";"x mln euro";"371";"431"
"Operating returns";"Net turnover";"F Construction";"x mln euro";"84245";"87866"
"Operating returns";"Net turnover";"41 Construction buildings, development";"x mln euro";"35079";"36417"
"Operating returns";"Net turnover";"412-439 Construction (no development)";"x mln euro";".";"83110"
"Operating returns";"Net turnover";"412 Construction of buildings";"x mln euro";"29789";"31661"
"Operating returns";"Net turnover";"42 Civil engineering";"x mln euro";"13838";"14706"
"Operating returns";"Net turnover";"421 Construction of roads and railways";"x mln euro";"9172";"10043"
"Operating returns";"Net turnover";"422 Construction of utility projects";"x mln euro";"3373";"3432"
"Operating returns";"Net turnover";"43 Specialised construction activities";"x mln euro";"35328";"36743"
"Operating returns";"Net turnover";"431 Demolition and site preparation";"x mln euro";"2504";"2669"
"Operating returns";"Net turnover";"432 Construction installation";"x mln euro";"18367";"18580"
"Operating returns";"Net turnover";"4322 Plumbing, fitting, installation";"x mln euro";"7676";"7991"
"Operating returns";"Net turnover";"433 Building completion";"x mln euro";"8532";"8895"
"Operating returns";"Net turnover";"4331 Plastering";"x mln euro";"895";"862"
"Operating returns";"Net turnover";"4334 Painting and glazing";"x mln euro";"3390";"3489"
"Operating returns";"Net turnover";"439 Other specialised construction";"x mln euro";"5925";"6600"
"Operating returns";"Net turnover";"4391 Roofing";"x mln euro";"1301";"1503"
"Operating returns";"Net turnover";"G-I Trade, transport, hotels, catering";"x mln euro";"634505";"699036"
"Operating returns";"Net turnover";"G Wholesale and retail trade";"x mln euro";"548888";"607959"
"Operating returns";"Net turnover";"45 Sale and repair of motor vehicles";"x mln euro";"57981";"65818"
"Operating returns";"Net turnover";"451 Sale and repair of motor vehicles";"x mln euro";"45107";"51440"
"Operating returns";"Net turnover";"4511 Sale and repair of cars";"x mln euro";"40403";"46339"
"Operating returns";"Net turnover";"45111 Import of new passenger cars";"x mln euro";"11266";"12474"
"Operating returns";"Net turnover";"45112 Sale of passenger cars, no import";"x mln euro";"29137";"33865"
"Operating returns";"Net turnover";"4519 Sale and repair of trucks, trailers";"x mln euro";"4704";"5101"
"Operating returns";"Net turnover";"452 Specialised repair of motor vehicles";"x mln euro";"2894";"2827"
"Operating returns";"Net turnover";"453 Sale of motor vehicle parts.";"x mln euro";"8689";"9416"
"Operating returns";"Net turnover";"454 Sale and repair of motorcycles";"x mln euro";"1292";"2135"
"Operating returns";"Net turnover";"46 Wholesale trade (no motor vehicles)";"x mln euro";"389009";"437813"
"Operating returns";"Net turnover";"462-469 Wholesale";"x mln euro";"382200";"431228"
"Operating returns";"Net turnover";"462 Wholesale of agricultural products";"x mln euro";"35979";"43527"
"Operating returns";"Net turnover";"4621 Wholesale of grain, seeds etc.";"x mln euro";"23488";"29783"
"Operating returns";"Net turnover";"4622 Wholesale of flowers and plants";"x mln euro";"9221";"9643"
"Operating returns";"Net turnover";"463 Wholesale of food and beverages ";"x mln euro";"67245";"70464"
"Operating returns";"Net turnover";"4631 Wholesale of vegetables, potatoes";"x mln euro";"14353";"13586"
"Operating returns";"Net turnover";"4634 Wholesale of beverages";"x mln euro";"5880";"5925"
"Operating returns";"Net turnover";"4638 Wholesale of other food";"x mln euro";"8729";"9332"
"Operating returns";"Net turnover";"4639 Non-specialised wholesale of food";"x mln euro";"15814";"16774"
"Operating returns";"Net turnover";"464 Wholesale of consumer goods";"x mln euro";"75558";"79627"
"Operating returns";"Net turnover";"4642 Wholesale of clothes, shoes etc";"x mln euro";"8729";"9814"
"Operating returns";"Net turnover";"4643 Wholesale consumer electronics etc";"x mln euro";"10608";"11065"
"Operating returns";"Net turnover";"4646 Wholesale of medical goods";"x mln euro";"30436";"29067"
"Operating returns";"Net turnover";"4647 Wholesale of furniture and carpets";"x mln euro";"2763";"2841"
"Operating returns";"Net turnover";"465 Wholesale of ICT-equipment";"x mln euro";"51267";"59607"
"Operating returns";"Net turnover";"4651 Wholesale of computers and software";"x mln euro";"39786";"47652"
"Operating returns";"Net turnover";"4652 Wholesale of other electronics";"x mln euro";"11481";"11956"
"Operating returns";"Net turnover";"466 Wholesale of other machinery";"x mln euro";"36575";"40718"
"Operating returns";"Net turnover";"467 Other specialised wholesale";"x mln euro";"112042";"133366"
"Operating returns";"Net turnover";"4671 Wholesale of mineral oils";"x mln euro";"65805";"82006"
"Operating returns";"Net turnover";"4672 Wholesale of metals and metal ores";"x mln euro";"6746";"8127"
"Operating returns";"Net turnover";"4673 Wholesale of construction materials";"x mln euro";"15433";"16605"
"Operating returns";"Net turnover";"4675 Wholesale of chemical products";"x mln euro";"11842";"12575"
"Operating returns";"Net turnover";"4677 Wholesale of waste and scrap";"x mln euro";"6591";"7992"
"Operating returns";"Net turnover";"469 Non-specialised wholesale ";"x mln euro";"3535";"3920"
"Operating returns";"Net turnover";"47 Retail trade (not in motor vehicles)";"x mln euro";"101897";"104328"
"Operating returns";"Net turnover";"471 Non-specialised retail sales.";"x mln euro";"32798";"33965"
"Operating returns";"Net turnover";"4719, 474-477Shops in Non-food";"x mln euro";".";"52923"
"Operating returns";"Net turnover";"4711 Supermarkets and similar stores";"x mln euro";"29791";"30877"
"Operating returns";"Net turnover";"4711, 472 Shops in food";"x mln euro";".";"36474"
"Operating returns";"Net turnover";"4719 Department stores";"x mln euro";"3008";"3088"
"Operating returns";"Net turnover";"472 Specialised shops selling food";"x mln euro";"5464";"5597"
"Operating returns";"Net turnover";"473 Petrol stations";"x mln euro";"8141";"8987"
"Operating returns";"Net turnover";"474 Shops selling consumer electronics";"x mln euro";"4497";"4421"
"Operating returns";"Net turnover";"4743 Shops for brown and white goods";"x mln euro";"3205";"3133"
"Operating returns";"Net turnover";"475 Shops for other household equipment";"x mln euro";"13079";"13219"
"Operating returns";"Net turnover";"4751 Shops selling textiles and wool";"x mln euro";"100";"98"
"Operating returns";"Net turnover";"4752 Shops for do-it-yourself articles";"x mln euro";"5638";"5764"
"Operating returns";"Net turnover";"4753 Shops for floor coverings, curtains";"x mln euro";"601";"583"
"Operating returns";"Net turnover";"4754 Shops for electr. household goods ";"x mln euro";"288";"314"
"Operating returns";"Net turnover";"4759 Shops for other household articles";"x mln euro";"6451";"6461"
"Operating returns";"Net turnover";"476 Shops selling recreation goods";"x mln euro";"5135";"5032"
"Operating returns";"Net turnover";"4764 Shops for sports and camping goods";"x mln euro";"2598";"2565"
"Operating returns";"Net turnover";"4765 Shops selling toys";"x mln euro";"911";"875"
"Operating returns";"Net turnover";"477 Shops selling other goods";"x mln euro";"27244";"27164"
"Operating returns";"Net turnover";"4771 Shops selling clothing";"x mln euro";"9697";"9568"
"Operating returns";"Net turnover";"4772 Shops for footwear, leather goods";"x mln euro";"2238";"2264"
"Operating returns";"Net turnover";"4773 Dispensing chemists";"x mln euro";"5372";"5028"
"Operating returns";"Net turnover";"4774 Drugstores, shops for medical goods";"x mln euro";"3401";"3474"
"Operating returns";"Net turnover";"4775 Shops for perfumes, cosmetic goods";"x mln euro";"617";"640"
"Operating returns";"Net turnover";"4776 Shops for flowers, plants and pets";"x mln euro";"2514";"2576"
"Operating returns";"Net turnover";"4777 Shops selling jewellery and watches";"x mln euro";"791";"894"
"Operating returns";"Net turnover";"478 Market sale";"x mln euro";"1180";"1221"
"Operating returns";"Net turnover";"479 Retail sale not via store or market";"x mln euro";"4360";"4722"
"Operating returns";"Net turnover";"4791 Retail sale via internet";"x mln euro";".";"3837"
"Operating returns";"Net turnover";"H+J Transport, ICT";"x mln euro";".";"."
"Operating returns";"Net turnover";"H Transportation and storage";"x mln euro";"67318";"71874"
"Operating returns";"Net turnover";"49 Land transport ";"x mln euro";"24488";"26244"
"Operating returns";"Net turnover";"491-492 Rail transport";"x mln euro";"x";"2295"
"Operating returns";"Net turnover";"493 Passenger transport by road";"x mln euro";"3680";"3903"
"Operating returns";"Net turnover";"4932 Taxi operation";"x mln euro";"1833";"1876"
"Operating returns";"Net turnover";"494 Freight transport by road";"x mln euro";"18186";"19669"
"Operating returns";"Net turnover";"4941 Freight road transport, no removals";"x mln euro";"17767";"19210"
"Operating returns";"Net turnover";"4942 Removal services";"x mln euro";"419";"459"
"Operating returns";"Net turnover";"50 Water transport ";"x mln euro";"7133";"7514"
"Operating returns";"Net turnover";"501-502 Sea water transport";"x mln euro";"4917";"4977"
"Operating returns";"Net turnover";"503-504 Inland water transport";"x mln euro";"2216";"2537"
"Operating returns";"Net turnover";"51 Air transport ";"x mln euro";"9385";"9687"
"Operating returns";"Net turnover";"52 Warehousing, services for transport";"x mln euro";"21427";"23542"
"Operating returns";"Net turnover";"521 Warehousing and storage";"x mln euro";"3528";"3677"
"Operating returns";"Net turnover";"522 Services activities for transport";"x mln euro";"17899";"19865"
"Operating returns";"Net turnover";"5221 Services for land transport";"x mln euro";"739";"799"
"Operating returns";"Net turnover";"5222 Services for water transport";"x mln euro";"1259";"1312"
"Operating returns";"Net turnover";"5223 Services for air transport";"x mln euro";"1312";"1500"
"Operating returns";"Net turnover";"5224 Cargo handling";"x mln euro";"2413";"2609"
"Operating returns";"Net turnover";"5229 Agents for transport and weighing";"x mln euro";"12175";"13645"
"Operating returns";"Net turnover";"53 Postal and courier activities";"x mln euro";"4886";"4888"
"Operating returns";"Net turnover";"Hotels, restaurants and bars";"x mln euro";"14085";"14878"
"Operating returns";"Net turnover";"I Accommodation and food serving";"x mln euro";"18299";"19203"
"Operating returns";"Net turnover";"55 Accommodation";"x mln euro";"5025";"5200"
"Operating returns";"Net turnover";"551 Hotels and similar accommodation";"x mln euro";"3376";"3586"
"Operating returns";"Net turnover";"56 Food and beverage service activities";"x mln euro";"13275";"14003"
"Operating returns";"Net turnover";"561 Restaurants ";"x mln euro";"7662";"8188"
"Operating returns";"Net turnover";"56101 Restaurants";"x mln euro";"5025";"5324"
"Operating returns";"Net turnover";"56102-56103 Snackbars, icecream parlours";"x mln euro";"2637";"2864"
"Operating returns";"Net turnover";"562 Canteens and catering";"x mln euro";"2566";"2710"
"Operating returns";"Net turnover";"563 Bars";"x mln euro";"3047";"3104"
"Operating returns";"Net turnover";"J Information and communication";"x mln euro";"52197";"52969"
"Operating returns";"Net turnover";"58-60 Publishing, movie, radio and  TV";"x mln euro";"10181";"10138"
"Operating returns";"Net turnover";"58 Publishing ";"x mln euro";"6372";"6180"
"Operating returns";"Net turnover";"59 Film, TV and music production etc";"x mln euro";"2070";"2136"
"Operating returns";"Net turnover";"60 Programming and broadcasting";"x mln euro";"1738";"1822"
"Operating returns";"Net turnover";"61 Telecommunications";"x mln euro";"17858";"17459"
"Operating returns";"Net turnover";"62-63 IT- and information services";"x mln euro";"24158";"25371"
"Operating returns";"Net turnover";"62 Support activities in the field of IT";"x mln euro";"22557";"23308"
"Operating returns";"Net turnover";"63 Information service activities";"x mln euro";"1601";"2063"
"Operating returns";"Net turnover";"L Renting, buying, selling real estate";"x mln euro";".";"."
"Operating returns";"Net turnover";"68 Renting, buying, selling real estate";"x mln euro";".";"."
"Operating returns";"Net turnover";"69 Legal services, administration etc.";"x mln euro";"15286";"15653"
"Operating returns";"Net turnover";"691 Legal activities";"x mln euro";"5662";"5927"
"Operating returns";"Net turnover";"692 Accounting, administration etc.";"x mln euro";"9624";"9726"
"Operating returns";"Net turnover";"70102 Holding companies (not financial)";"x mln euro";"7924";"7084"
"Operating returns";"Net turnover";"702 Management and business consultancy";"x mln euro";"14886";"15326"
"Operating returns";"Net turnover";"71 Architects, technical services etc.";"x mln euro";"15344";"15496"
"Operating returns";"Net turnover";"711 Architects, engineers etc.";"x mln euro";"13400";"13495"
"Operating returns";"Net turnover";"7111 Architects";"x mln euro";"1329";"1205"
"Operating returns";"Net turnover";"7112 Engineers and technical consultancy";"x mln euro";"12071";"12290"
"Operating returns";"Net turnover";"712 Technical testing and analysis";"x mln euro";"1944";"2000"
"Operating returns";"Net turnover";"72 Research and development";"x mln euro";"3747";"3983"
"Operating returns";"Net turnover";"73-75 Advertising, design and other";"x mln euro";"16365";"16273"
"Operating returns";"Net turnover";"73 Advertising and market research";"x mln euro";"8390";"8093"
"Operating returns";"Net turnover";"731 Advertising";"x mln euro";"6587";"6341"
"Operating returns";"Net turnover";"732 Market research and opinion polling ";"x mln euro";"1803";"1753"
"Operating returns";"Net turnover";"74 Other specialised business services";"x mln euro";"7197";"7317"
"Operating returns";"Net turnover";"75 Veterinary activities";"x mln euro";"777";"863"
"Operating returns";"Net turnover";"N Renting and other business support";"x mln euro";"48994";"52406"
"Operating returns";"Net turnover";"77 Renting and leasing of tangible goods";"x mln euro";"10395";"10968"
"Operating returns";"Net turnover";"771 Renting of motor vehicles";"x mln euro";"5421";"6194"
"Operating returns";"Net turnover";"772 Renting of consumer goods";"x mln euro";"1378";"1214"
"Operating returns";"Net turnover";"78 Employment activities";"x mln euro";"18787";"20625"
