"Subjects_1";"Subjects_2";"Sector/branches (SIC 2008)";"Periods";"2010";"2011"
"Labour volume persons employed";"Employed person";"206 Manufacture of man-made fibres";"x 1 000";"2.2";"2.3"
"Labour volume persons employed";"Employed person";"21 Manufacture of pharmaceuticals";"x 1 000";"16.3";"14.8"
"Labour volume persons employed";"Employed person";"211 Manufacture of basic pharmaceuticals";"x 1 000";"0.4";"0.4"
"Labour volume persons employed";"Employed person";"212 Manufacture of pharmaceuticals";"x 1 000";"15.9";"14.4"
"Labour volume persons employed";"Employed person";"22 Manufacture rubber, plastic products";"x 1 000";"31.4";"32.3"
"Labour volume persons employed";"Employed person";"221 Manufacture of rubber products";"x 1 000";"3.6";"3.9"
"Labour volume persons employed";"Employed person";"222 Manufacture of plastic products";"x 1 000";"27.8";"28.4"
"Labour volume persons employed";"Employed person";"2221 Manufacture plastic plates, tubes";"x 1 000";"9.1";"8.9"
"Labour volume persons employed";"Employed person";"2229 Manufacture other plastic products";"x 1 000";"8.7";"8.1"
"Labour volume persons employed";"Employed person";"23 Manufacture of building materials";"x 1 000";"27.6";"27.8"
"Labour volume persons employed";"Employed person";"231 Manufacture of glass ";"x 1 000";"5.7";"5.5"
"Labour volume persons employed";"Employed person";"236 Manufacture concrete etc. products";"x 1 000";"13.4";"13.7"
"Labour volume persons employed";"Employed person";"2361 Manufacture of concrete products";"x 1 000";"10.2";"10.6"
"Labour volume persons employed";"Employed person";"237 Stone dressing";"x 1 000";"2.1";"1.9"
"Labour volume persons employed";"Employed person";"24-30, 33 Metalectro-industry";"x 1 000";"332.5";"338.1"
"Labour volume persons employed";"Employed person";"24-25 Man. of basic metals and -products";"x 1 000";"116.3";"118.1"
"Labour volume persons employed";"Employed person";"24 Manufacture of basic metals";"x 1 000";"21.8";"21.9"
"Labour volume persons employed";"Employed person";"241 Manufacture of iron and steel";"x 1 000";"x";"x"
"Labour volume persons employed";"Employed person";"244 Manufacture of non-ferrous metals";"x 1 000";"5.7";"5.5"
"Labour volume persons employed";"Employed person";"245 Casting of metals";"x 1 000";"3.8";"4.2"
"Labour volume persons employed";"Employed person";"25 Manufacture of metal products";"x 1 000";"94.5";"96.2"
"Labour volume persons employed";"Employed person";"251 Manufacture metal structures, doors";"x 1 000";"39.0";"40.7"
"Labour volume persons employed";"Employed person";"255 Forging, pressing, stamping";"x 1 000";"8.7";"8.4"
"Labour volume persons employed";"Employed person";"256 Other treatment of metals, machining";"x 1 000";"23.9";"25.7"
"Labour volume persons employed";"Employed person";"2561 Treatment and coating of metals";"x 1 000";"8.3";"8.6"
"Labour volume persons employed";"Employed person";"2562 Machining";"x 1 000";"15.7";"17.2"
"Labour volume persons employed";"Employed person";"257 Manufacture of hardware";"x 1 000";"3.8";"4.3"
"Labour volume persons employed";"Employed person";"259 Manufacture of other metal products";"x 1 000";"13.2";"12.4"
"Labour volume persons employed";"Employed person";"26-27 Elektrical and electron. Industry";"x 1 000";"50.9";"51.8"
"Labour volume persons employed";"Employed person";"26-28 Manufact of electronics, machinery";"x 1 000";"132.0";"136.4"
"Labour volume persons employed";"Employed person";"26 Manufacture of electronic products";"x 1 000";"29.5";"28.7"
"Labour volume persons employed";"Employed person";"263 Manufacture communication equipment";"x 1 000";"1.3";"1.4"
"Labour volume persons employed";"Employed person";"264 Manufacture of consumer electronics";"x 1 000";"1.1";"1.1"
"Labour volume persons employed";"Employed person";"265 Manufacture of measuring instruments";"x 1 000";"11.1";"10.8"
"Labour volume persons employed";"Employed person";"267 Manufacture of optical instruments ";"x 1 000";"1.1";"."
"Labour volume persons employed";"Employed person";"27 Manufacture of electric equipment";"x 1 000";"21.3";"23.1"
"Labour volume persons employed";"Employed person";"271 Manufacture of electric motors etc.";"x 1 000";"6.4";"6.3"
"Labour volume persons employed";"Employed person";"273 Manufacture of wiring and -devices ";"x 1 000";"3.0";"2.8"
"Labour volume persons employed";"Employed person";"274 Manufacture of lighting equipment";"x 1 000";"5.9";"6.1"
"Labour volume persons employed";"Employed person";"275 Manufacture of domestic appliances";"x 1 000";"3.4";"4.0"
"Labour volume persons employed";"Employed person";"28 Manufacture of machinery n.e.c.";"x 1 000";"81.2";"84.5"
"Labour volume persons employed";"Employed person";"281 Manufacture of engines, pumps etc.";"x 1 000";"12.7";"12.7"
"Labour volume persons employed";"Employed person";"282 Manufacture of general machinery";"x 1 000";"33.6";"35.6"
"Labour volume persons employed";"Employed person";"2822 Manufacture of lifting equipment";"x 1 000";"12.6";"13.2"
"Labour volume persons employed";"Employed person";"2829 Manufacture general-use machinery ";"x 1 000";"11.2";"11.2"
"Labour volume persons employed";"Employed person";"283 Manufacture agricultural machinery";"x 1 000";"6.8";"7.3"
"Labour volume persons employed";"Employed person";"284 Manufacture of machine tools";"x 1 000";"1.6";"1.3"
"Labour volume persons employed";"Employed person";"289 Manufacture other special machinery";"x 1 000";"26.4";"27.6"
"Labour volume persons employed";"Employed person";"2899 Manufacture other special machinery";"x 1 000";"13.6";"15.0"
"Labour volume persons employed";"Employed person";"29-30 Transport equipment";"x 1 000";"43.2";"41.3"
"Labour volume persons employed";"Employed person";"29 Manufacture of cars and trailers";"x 1 000";"21.3";"21.7"
"Labour volume persons employed";"Employed person";"291 Manufacture of motor vehicles";"x 1 000";"8.8";"10.1"
"Labour volume persons employed";"Employed person";"292 Manufacture of bodies and trailers";"x 1 000";"6.9";"6.3"
"Labour volume persons employed";"Employed person";"293 Manufacture of car parts";"x 1 000";"5.6";"5.3"
"Labour volume persons employed";"Employed person";"30 Manufacture of other transport";"x 1 000";"21.9";"19.7"
"Labour volume persons employed";"Employed person";"301 Building of ships and boats";"x 1 000";"14.6";"12.8"
"Labour volume persons employed";"Employed person";"302 Manufacture of railway rolling stock";"x 1 000";"0.3";"0.3"
"Labour volume persons employed";"Employed person";"309 Manufacture of transport n.e.c. ";"x 1 000";"2.8";"2.8"
"Labour volume persons employed";"Employed person";"31 Manufacture of furniture";"x 1 000";"25.0";"23.7"
"Labour volume persons employed";"Employed person";"3101 Manufacture business furniture etc";"x 1 000";"14.0";"13.3"
"Labour volume persons employed";"Employed person";"32 Manufacture of other products";"x 1 000";"100.4";"102.8"
"Labour volume persons employed";"Employed person";"325 Manufacture of medical instruments";"x 1 000";"9.9";"10.7"
